Census year,Occupation,Total Weight,Female,Male,,,,
1980,architect,492100,0.15586263,0.84413737,,,,
1900,proprietor,1373470.9,0.069192227,0.930807773,,,,
1860,inspector,1421.38,0,1,,,,
2009,welder,758518,0.054406092,0.945593908,,,,
1990,shoemaker,159681,0.089929297,0.910070703,,,,
2015,optometrist,39303,0.422079739,0.577920261,,,,
1880,bailiff,5212.28,0,1,,,,
1990,bartender,410461,0.52555054,0.47444946,,,,
1980,musician,651760,0.557966122,0.442033878,,,,
2003,surgeon,819563,0.292501004,0.707498996,,,,
2000,mechanic,14859857,0.295414552,0.704585448,,,,
2013,therapist,826968,0.788379961,0.211620039,,,,
2014,waitstaff,2954791,0.722821343,0.277178657,,,,
2000,carpenter,1748664,0.020487641,0.979512359,,,,
2002,secretary,5410589,0.961241558,0.038758442,,,,
2003,electrician,953937,0.023526711,0.976473289,,,,
2006,cabinetmaker,97518,0.059394163,0.940605837,,,,
1850,nurse,97.47,0,1,,,,
1880,eletrotyper,648.13,0,1,,,,
1990,chiropractor,49243,0.314806165,0.685193835,,,,
1910,judge,119174,0.004212328,0.995787672,,,,
2014,mason,197172,0.013784919,0.986215081,,,,
2000,mailperson,768727,0.305675487,0.694324513,,,,
2010,entertainer,322955,0.567010884,0.432989116,,,,
1970,bootblack,14100,0.09929078,0.90070922,,,,
2012,gardener,1961670,0.06364883,0.93635117,,,,
1980,nurse,2249760,0.931290449,0.068709551,,,,
2003,plumber,645452,0.022322342,0.977677658,,,,
1900,clerk,42195.53,0.019194213,0.980805787,,,,
1850,baker,14599.35,0,1,,,,
2005,clerical,12787243,0.708010163,0.291989837,,,,
1920,chemist,33138.73,0.042974489,0.957025511,,,,
2001,psychologist,169549,0.656535869,0.343464131,,,,
1860,stereotyper,95.91,0,1,,,,
2000,administrator,432570,0.52176064,0.47823936,,,,
2005,mailperson,846083,0.284316078,0.715683922,,,,
2006,smith,177745,0.047860699,0.952139301,,,,
2013,professor,1763687,0.499442928,0.500557072,,,,
1930,photographer,33494.78,0.158839377,0.841160623,,,,
1940,shoemaker,68580,0.010994459,0.989005541,,,,
1910,waitstaff,165890,0.408125867,0.591874133,,,,
1930,lawyer,163872,0.023359634,0.976640366,,,,
1870,attendant,6557.32,0.858182916,0.141817084,,,,
2006,guard,1862374,0.254060677,0.745939323,,,,
2006,inspector,315251,0.325867325,0.674132675,,,,
1920,baker,103791.61,0.04536041,0.95463959,,,,
1880,geologist,170.42,0,1,,,,
1910,upholsterer,21367,0.032901203,0.967098797,,,,
1880,attendant,11963.95,0.776655703,0.223344297,,,,
1850,teacher,30912.54,0,1,,,,
2014,therapist,875802,0.778677144,0.221322856,,,,
2005,soldier,791443,0.149624168,0.850375832,,,,
2006,clergy,674022,0.303371403,0.696628597,,,,
1990,nutritionist,110748,0.898318706,0.101681294,,,,
2013,bartender,513496,0.587443719,0.412556281,,,,
2014,sailor,37962,0.027632896,0.972367104,,,,
1950,architect,145653,0.050723294,0.949276706,,,,
2015,millwright,59271,0.00895885,0.99104115,,,,
2004,conservationist,59991,0.175959727,0.824040273,,,,
1980,surgeon,460260,0.142441229,0.857558771,,,,
2005,geologist,76753,0.262178677,0.737821323,,,,
1880,retired,112232.64,0.089113916,0.910886084,,,,
2014,tradesperson,5854712,0.040287891,0.959712109,,,,
2008,cook,5188094,0.502778284,0.497221716,,,,
1980,porter,26320,0.080547112,0.919452888,,,,
2002,tradesperson,6504040,0.053202164,0.946797836,,,,
1960,lawyer,223480,0.046626096,0.953373904,,,,
1950,midwife,1206,0.908789386,0.091210614,,,,
1870,typesetter,31915.1,0.032905741,0.967094259,,,,
1970,nurse,3316900,0.946033947,0.053966053,,,,
2010,mailperson,799799,0.262483449,0.737516551,,,,
2000,smith,192305,0.043238605,0.956761395,,,,
2003,conservationist,54892,0.145758945,0.854241055,,,,
2014,upholsterer,42408,0.205975288,0.794024712,,,,
2003,architect,463766,0.209983052,0.790016948,,,,
1970,chemist,247900,0.154094393,0.845905607,,,,
2010,artist,249177,0.460841089,0.539158911,,,,
1920,eletrotyper,4175.42,0.023643131,0.976356869,,,,
1910,therapist,5321,0.41439579,0.58560421,,,,
1920,huckster,47566.29,0.033565788,0.966434212,,,,
2013,pilot,138427,0.050994387,0.949005613,,,,
2005,cashier,4621853,0.773163058,0.226836942,,,,
2015,tradesperson,5928371,0.038459975,0.961540025,,,,
1990,pharmacist,205625,0.372279635,0.627720365,,,,
1860,manager,385090.58,0.0582739,0.9417261,,,,
2000,attendant,7357450,0.817799238,0.182200762,,,,
2001,boilermaker,24318,0.0196151,0.9803849,,,,
2004,therapist,647826,0.758260706,0.241739294,,,,
1910,milliner,120061,0.973238604,0.026761396,,,,
1860,teacher,112417.93,0.59869133,0.40130867,,,,
1880,instructor,3413.45,0.07568296,0.92431704,,,,
2011,salesperson,2299846,0.438899387,0.561100613,,,,
1950,postmaster,37122,0.397257691,0.602742309,,,,
1970,guard,855800,0.058892265,0.941107735,,,,
2005,machinist,466352,0.059796034,0.940203966,,,,
2001,pilot,141802,0.031882484,0.968117516,,,,
1870,architect,2832.58,0,1,,,,
1920,bartender,24986.97,0,1,,,,
1990,bankteller,624766,0.901009338,0.098990662,,,,
1940,mailperson,633289,0.04091339,0.95908661,,,,
1860,sheriff,2978.55,0,1,,,,
2011,teacher,6736971,0.771826537,0.228173463,,,,
1940,baker,150317,0.081008801,0.918991199,,,,
2010,designer,933839,0.558373553,0.441626447,,,,
1850,waitstaff,7502.75,0,1,,,,
1860,tradesperson,680696.04,0.088090758,0.911909242,,,,
2002,machinist,556117,0.055358854,0.944641146,,,,
2008,compositor,57244,0.491125707,0.508874293,,,,
2013,sailor,36223,0.040112636,0.959887364,,,,
1980,toolmaker,213280,0.021942986,0.978057014,,,,
1940,scientist,57748,0.032676456,0.967323544,,,,
2006,attendant,8730122,0.810719484,0.189280516,,,,
2014,pilot,137904,0.049904281,0.950095719,,,,
2007,housekeeper,148195,0.758905496,0.241094504,,,,
2006,draftsperson,251332,0.211047539,0.788952461,,,,
1950,surgeon,199785,0.058638036,0.941361964,,,,
2006,police,1022561,0.17046807,0.82953193,,,,
1850,designer,208.48,0,1,,,,
1910,plumber,157039,0.001910353,0.998089647,,,,
2004,painter,245481,0.176592078,0.823407922,,,,
2011,doctor,938909,0.35654254,0.64345746,,,,
2001,operator,2055663,0.479340242,0.520659758,,,,
1850,cook,3766.47,0,1,,,,
1990,administrator,1222047,0.539059463,0.460940537,,,,
2011,geologist,76146,0.304756652,0.695243348,,,,
1860,janitor,1573.04,0.256140975,0.743859025,,,,
2003,chemist,118619,0.362049925,0.637950075,,,,
2010,shoemaker,260262,0.036128978,0.963871022,,,,
2011,setter,73058,0.029962496,0.970037504,,,,
1930,peddler,54999.22,0.034463398,0.965536602,,,,
1860,sailor,69118.82,0.003498324,0.996501676,,,,
2000,sales,8636799,0.472607155,0.527392845,,,,
1980,cabinetmaker,87400,0.099084668,0.900915332,,,,
2013,fireperson,420588,0.053218351,0.946781649,,,,
1940,clergy,168697,0.163067512,0.836932488,,,,
1940,lumberjack,46631,0.006433488,0.993566512,,,,
2005,psychologist,193310,0.663436967,0.336563033,,,,
2007,sailor,38286,0.05707047,0.94292953,,,,
1970,janitor,4760200,0.272551573,0.727448427,,,,
1950,economist,10023,0.327247331,0.672752669,,,,
1870,conductor,10891.15,0,1,,,,
2000,nurse,3908714,0.896784211,0.103215789,,,,
1920,professor,30642.04,0.296205801,0.703794199,,,,
2013,carpenter,1437898,0.019240586,0.980759414,,,,
1950,huckster,24983,0.144298123,0.855701877,,,,
1910,scientist,17255,0.029150971,0.970849029,,,,
1860,doorkeeper,6504.36,0.034063305,0.965936695,,,,
2004,inspector,311128,0.324078836,0.675921164,,,,
1880,machinist,86974.31,0.001205758,0.998794242,,,,
1880,plumber,20121.25,0,1,,,,
1970,attendant,5712500,0.642625821,0.357374179,,,,
1940,doorkeeper,237728,0.014722708,0.985277292,,,,
1870,midwife,1507.88,1,0,,,,
1910,boilermaker,41316,0,1,,,,
1860,peddler,22339.44,0.062441583,0.937558417,,,,
2015,sales,8540489,0.452313913,0.547686087,,,,
1850,mason,51306.47,0,1,,,,
2002,designer,830993,0.585501924,0.414498076,,,,
1910,geologist,301,0,1,,,,
1910,mechanic,2530022,0.341363435,0.658636565,,,,
1960,technician,597160,0.355147699,0.644852301,,,,
1870,bootblack,1134.42,0,1,,,,
1970,physician,591300,0.109419922,0.890580078,,,,
1960,compositor,204040,0.119486375,0.880513625,,,,
2015,upholsterer,40803,0.163321324,0.836678676,,,,
2010,laborer,8335282,0.142686474,0.857313526,,,,
2008,physician,902266,0.328922956,0.671077044,,,,
2010,geologist,79693,0.296663446,0.703336554,,,,
2003,pilot,142628,0.066992456,0.933007544,,,,
1970,police,883100,0.046087646,0.953912354,,,,
2003,welder,697053,0.072175287,0.927824713,,,,
2010,dentist,177562,0.245925367,0.754074633,,,,
2003,professor,1375917,0.457197636,0.542802364,,,,
2004,professor,1380024,0.476801853,0.523198147,,,,
1980,compositor,86660,0.55088853,0.44911147,,,,
1940,typesetter,181787,0.068932322,0.931067678,,,,
1960,scientist,167480,0.142942441,0.857057559,,,,
2007,smith,167998,0.048095811,0.951904189,,,,
1900,mason,147901.18,0.006576418,0.993423582,,,,
1950,salesperson,222978,0.323646279,0.676353721,,,,
1900,toolmaker,8151,0.012140842,0.987859158,,,,
2013,plasterer,43113,0.010344908,0.989655092,,,,
1960,inspector,212660,0.100818207,0.899181793,,,,
1850,guard,3282.1,0,1,,,,
2013,clerical,13950983,0.688492417,0.311507583,,,,
1870,millwright,8264.46,0.011318344,0.988681656,,,,
1850,molder,8767.61,0,1,,,,
2002,draftsperson,246406,0.215964709,0.784035291,,,,
2005,laborer,7620251,0.155425851,0.844574149,,,,
2006,veterinarian,74247,0.52357671,0.47642329,,,,
1860,clerical,9567.33,0.146518412,0.853481588,,,,
2014,doorkeeper,1980903,0.24729227,0.75270773,,,,
2004,laborer,7200743,0.159306755,0.840693245,,,,
2011,instructor,1676404,0.486743649,0.513256351,,,,
2011,judge,1175723,0.355671361,0.644328639,,,,
2009,instructor,1588689,0.495344274,0.504655726,,,,
1910,cook,190924,0.475744275,0.524255725,,,,
1940,auctioneer,8239,0.329651657,0.670348343,,,,
1850,laborer,1002626.29,0,1,,,,
1980,engineer,1961080,0.060150529,0.939849471,,,,
1950,bookbinder,32757,0.538846659,0.461153341,,,,
1860,conservationist,284,0,1,,,,
2005,musician,1505104,0.636342073,0.363657927,,,,
2013,cashier,5186791,0.741319054,0.258680946,,,,
1990,surgeon,627840,0.211928198,0.788071802,,,,
2000,judge,1010117,0.307079279,0.692920721,,,,
2003,geologist,86129,0.289321831,0.710678169,,,,
1930,toolmaker,92089.43,0.007017961,0.992982039,,,,
2003,chiropractor,74809,0.346228395,0.653771605,,,,
1880,police,29100.09,0.00325566,0.99674434,,,,
1980,broker,1613000,0.417135772,0.582864228,,,,
2009,boilermaker,27670,0.0290206,0.9709794,,,,
1980,police,606980,0.069689281,0.930310719,,,,
2002,accountant,2059929,0.593347635,0.406652365,,,,
1970,clerk,1032300,0.170202461,0.829797539,,,,
2006,economist,194044,0.519763559,0.480236441,,,,
2003,lawyer,1027321,0.322081414,0.677918586,,,,
2013,accountant,2461446,0.598438479,0.401561521,,,,
2015,baker,295402,0.588801024,0.411198976,,,,
2003,physician,819563,0.292501004,0.707498996,,,,
2012,mailperson,708330,0.288677594,0.711322406,,,,
1860,student,45757.54,0.199874163,0.800125837,,,,
1910,professor,24277,0.214606418,0.785393582,,,,
2012,proprietor,20862221,0.390057128,0.609942872,,,,
1860,plasterer,13873.35,0.014601376,0.985398624,,,,
2004,draftsperson,235464,0.222093399,0.777906601,,,,
2008,surveyor,157628,0.12731875,0.87268125,,,,
1930,clerical,1567325.96,0.326831031,0.673168969,,,,
2002,laborer,6855428,0.163983635,0.836016365,,,,
1940,entertainer,28540,0.33461808,0.66538192,,,,
2008,toolmaker,96993,0.026682338,0.973317662,,,,
2013,doorkeeper,1995659,0.249590737,0.750409263,,,,
2009,conductor,56027,0.064415371,0.935584629,,,,
1980,conductor,59400,0.016498316,0.983501684,,,,
1870,official,522899.73,0.036706349,0.963293651,,,,
2005,setter,108633,0.030644463,0.969355537,,,,
2002,plumber,674737,0.017716533,0.982283467,,,,
2000,official,18716994,0.390916511,0.609083489,,,,
2007,millwright,73899,0.031773096,0.968226904,,,,
2002,clerical,12445220,0.704575411,0.295424589,,,,
2012,psychologist,212485,0.709471257,0.290528743,,,,
2009,lumberjack,45504,0.093310478,0.906689522,,,,
2012,chiropractor,86910,0.418087677,0.581912323,,,,
2009,newsperson,816805,0.574425965,0.425574035,,,,
1960,sheriff,27920,0.068051576,0.931948424,,,,
2001,mechanic,13764227,0.290249427,0.709750573,,,,
2002,guard,1747424,0.256502143,0.743497857,,,,
1960,janitor,1077140,0.302839,0.697161,,,,
1910,mailperson,360753,0.057831813,0.942168187,,,,
2000,lawyer,1010117,0.307079279,0.692920721,,,,
1900,optometrist,19.43,1,0,,,,
2010,attendant,9721903,0.80360954,0.19639046,,,,
2014,toolmaker,70047,0.017231288,0.982768712,,,,
1870,broker,22404.35,0.032075021,0.967924979,,,,
2003,mechanic,13146323,0.281291354,0.718708646,,,,
1950,baker,121810,0.082045809,0.917954191,,,,
1920,dancer,4180.04,0.682223137,0.317776863,,,,
2008,clergy,681882,0.304049674,0.695950326,,,,
2013,surgeon,968766,0.345543712,0.654456288,,,,
2014,professor,1789849,0.509369226,0.490630774,,,,
1880,psychologist,19.81,0,1,,,,
1910,nutritionist,400,0.75,0.25,,,,
2009,psychologist,207955,0.682710202,0.317289798,,,,
1930,jeweler,38246.98,0.049657777,0.950342223,,,,
1960,bookbinder,37920,0.654008439,0.345991561,,,,
1970,broker,2554500,0.360540223,0.639459777,,,,
2004,surveyor,136782,0.109795148,0.890204852,,,,
1960,attendant,1442420,0.526712053,0.473287947,,,,
1920,plasterer,38017.96,0.002787104,0.997212896,,,,
2015,smith,155424,0.052675263,0.947324737,,,,
1990,geologist,59996,0.155627042,0.844372958,,,,
2012,doorkeeper,2011507,0.239751589,0.760248411,,,,
1940,laborer,9110688,0.057897164,0.942102836,,,,
2006,official,21467154,0.3883546,0.6116454,,,,
1960,author,33340,0.311337732,0.688662268,,,,
1910,teacher,570201,0.795786047,0.204213953,,,,
2007,porter,88491,0.204020748,0.795979252,,,,
2003,bookbinder,50332,0.566975284,0.433024716,,,,
1880,official,724479.14,0.051096392,0.948903608,,,,
2005,salesperson,2372498,0.434316067,0.565683933,,,,
2015,manager,22543230,0.396580614,0.603419386,,,,
1960,driver,2193600,0.020751276,0.979248724,,,,
2015,statistician,89278,0.420439526,0.579560474,,,,
2002,operator,2110069,0.485330101,0.514669899,,,,
1950,lawyer,181567,0.032852886,0.967147114,,,,
2012,broker,2509348,0.590315094,0.409684906,,,,
2001,housekeeper,164315,0.821732648,0.178267352,,,,
2014,bookbinder,26768,0.454199044,0.545800956,,,,
1980,lawyer,566600,0.15121779,0.84878221,,,,
1870,janitor,4369.88,0.112646114,0.887353886,,,,
1980,huckster,339340,0.829846172,0.170153828,,,,
1860,artist,5758.19,0.136204259,0.863795741,,,,
2009,mason,253479,0.00552314,0.99447686,,,,
2000,artist,291907,0.494616436,0.505383564,,,,
2007,driver,5287759,0.124063899,0.875936101,,,,
1980,salesperson,1232620,0.276646493,0.723353507,,,,
2011,librarian,2123269,0.856768031,0.143231969,,,,
1930,attendant,189272.18,0.284803662,0.715196338,,,,
1970,secretary,11964600,0.973045484,0.026954516,,,,
2004,chiropractor,76502,0.326370552,0.673629448,,,,
1870,artist,4775.96,0.177149725,0.822850275,,,,
1910,psychologist,100,1,0,,,,
2004,administrator,485816,0.56079668,0.43920332,,,,
1910,chiropractor,300,0.333333333,0.666666667,,,,
1920,optometrist,3531.26,0,1,,,,
2015,doorkeeper,1942441,0.254755743,0.745244257,,,,
1850,retired,1032.18,0,1,,,,
1850,artist,2130.38,0,1,,,,
1900,cashier,24862.42,0.541160515,0.458839485,,,,
1860,mechanic,363268.88,0.200307111,0.799692889,,,,
2007,physician,877351,0.31703161,0.68296839,,,,
2010,lumberjack,43221,0.111566137,0.888433863,,,,
2000,sailor,33284,0.056934263,0.943065737,,,,
1910,administrator,51058,0.025578754,0.974421246,,,,
2015,athlete,431818,0.394587535,0.605412465,,,,
1910,typesetter,137046,0.117865534,0.882134466,,,,
1850,mailperson,3809.06,0,1,,,,
1910,shoemaker,61578,0.070041248,0.929958752,,,,
2006,laborer,8336187,0.152010146,0.847989854,,,,
1980,veterinarian,37440,0.138888889,0.861111111,,,,
2002,fireperson,422846,0.052193943,0.947806057,,,,
1900,compositor,114349.25,0.109612262,0.890387738,,,,
1850,carpenter,219047.81,0,1,,,,
1920,scientist,38475.93,0.060759025,0.939240975,,,,
1870,physician,62590.6,0.011356498,0.988643502,,,,
1980,auctioneer,7700,0.166233766,0.833766234,,,,
1960,nurse,1330560,0.976701539,0.023298461,,,,
1850,doctor,42876.96,0,1,,,,
1870,gardener,31114.44,0,1,,,,
1990,teacher,5245433,0.74395803,0.25604197,,,,
1860,paperhanger,1903.01,0,1,,,,
2006,setter,101663,0.030237156,0.969762844,,,,
2014,administrator,663743,0.528544934,0.471455066,,,,
1920,conductor,143012.33,0.002799129,0.997200871,,,,
1940,attendant,558027,0.287917968,0.712082032,,,,
2010,scientist,744586,0.420429608,0.579570392,,,,
1870,professor,2348.88,0.049019107,0.950980893,,,,
2001,setter,120820,0.044967721,0.955032279,,,,
1860,athlete,102.31,0,1,,,,
1970,millwright,186000,0.009677419,0.990322581,,,,
1910,baker,95476,0.045226025,0.954773975,,,,
1960,pharmacist,101000,0.097821782,0.902178218,,,,
2007,professor,1520796,0.478425114,0.521574886,,,,
1920,nurse,263307.95,0.967345612,0.032654388,,,,
1990,painter,199564,0.182437714,0.817562286,,,,
2010,baker,237010,0.56399308,0.43600692,,,,
2004,typesetter,68913,0.459869691,0.540130309,,,,
1980,chemist,112360,0.21253115,0.78746885,,,,
1900,constable,8481.32,0.00467498,0.99532502,,,,
1930,stereotyper,7745.73,0.018372703,0.981627297,,,,
2005,surgeon,860598,0.311455523,0.688544477,,,,
2000,newsperson,822226,0.558171354,0.441828646,,,,
2015,bailiff,16286,0.278091612,0.721908388,,,,
1900,librarian,224650.23,0.282897952,0.717102048,,,,
1940,chemist,57748,0.032676456,0.967323544,,,,
1850,gardener,8252.77,0,1,,,,
1900,cabinetmaker,40297.09,0.007819671,0.992180329,,,,
1940,teacher,1070161,0.74745015,0.25254985,,,,
1980,weaver,93480,0.659606333,0.340393667,,,,
2012,carpenter,1558826,0.020874684,0.979125316,,,,
1990,soldier,1727938,0.108375416,0.891624584,,,,
2014,scientist,765077,0.430168467,0.569831533,,,,
1930,optometrist,7007.97,0.040254168,0.959745832,,,,
2013,dancer,29269,0.863951621,0.136048379,,,,
1910,plasterer,50040,0.002018385,0.997981615,,,,
2013,administrator,636513,0.521891933,0.478108067,,,,
2011,administrator,595898,0.521545634,0.478454366,,,,
1980,cashier,2706960,0.855712681,0.144287319,,,,
2012,official,21156967,0.392432526,0.607567474,,,,
2007,upholsterer,55733,0.189008307,0.810991693,,,,
2012,fireperson,412585,0.054306385,0.945693615,,,,
2012,artist,250017,0.463396489,0.536603511,,,,
1900,therapist,3227.79,0.415395673,0.584604327,,,,
1880,unemployed,7253.49,0.496894598,0.503105402,,,,
2013,athlete,436068,0.373840777,0.626159223,,,,
2002,judge,999979,0.315072617,0.684927383,,,,
2002,nutritionist,92950,0.905669715,0.094330285,,,,
1960,broker,702940,0.185250519,0.814749481,,,,
2009,musician,1754387,0.637939634,0.362060366,,,,
1880,bookbinder,9292,0.208808653,0.791191347,,,,
2015,dancer,30117,0.839094199,0.160905801,,,,
1960,doorkeeper,368420,0.045980131,0.954019869,,,,
2010,secretary,5078240,0.948229111,0.051770889,,,,
2010,professor,1634161,0.503956465,0.496043535,,,,
2012,clerk,746843,0.305689415,0.694310585,,,,
2015,nutritionist,110026,0.911475469,0.088524531,,,,
2011,physicist,13952,0.17918578,0.82081422,,,,
1980,official,9982260,0.286243796,0.713756204,,,,
1970,doorkeeper,855800,0.058892265,0.941107735,,,,
2009,weaver,16259,0.616028046,0.383971954,,,,
2015,broker,2669056,0.585417091,0.414582909,,,,
2015,typesetter,31233,0.437485992,0.562514008,,,,
2003,typesetter,70462,0.493244586,0.506755414,,,,
2007,toolmaker,98094,0.032142639,0.967857361,,,,
2009,paperhanger,10025,0.26563591,0.73436409,,,,
1960,dietitian,42020,0.942408377,0.057591623,,,,
1950,doctor,199785,0.058638036,0.941361964,,,,
2001,janitor,4691337,0.535105024,0.464894976,,,,
2010,sales,8603790,0.453518391,0.546481609,,,,
2006,photographer,224587,0.411030024,0.588969976,,,,
1870,toolmaker,999.99,0,1,,,,
1920,shoemaker,69264.04,0.047615617,0.952384383,,,,
2015,dietitian,110026,0.911475469,0.088524531,,,,
1880,postmaster,8086.08,0.157688274,0.842311726,,,,
2006,lawyer,1083150,0.325220884,0.674779116,,,,
1900,technician,1254.17,0.015300956,0.984699044,,,,
2009,clerk,731870,0.304179704,0.695820296,,,,
2008,jeweler,118075,0.220486979,0.779513021,,,,
2014,librarian,1917133,0.857995246,0.142004754,,,,
1860,bailiff,2978.55,0,1,,,,
1980,physician,460260,0.142441229,0.857558771,,,,
1860,millwright,7582.7,0,1,,,,
2006,carpenter,2115159,0.021618233,0.978381767,,,,
1990,photographer,169826,0.338752606,0.661247394,,,,
2011,attendant,10054186,0.799818901,0.200181099,,,,
2003,proprietor,20650843,0.392990301,0.607009699,,,,
1990,attendant,5616112,0.798819717,0.201180283,,,,
2001,accountant,2014823,0.59165892,0.40834108,,,,
2010,surveyor,133421,0.161271464,0.838728536,,,,
1870,plumber,13004.26,0.008229611,0.991770389,,,,
1970,physicist,47700,0.052410901,0.947589099,,,,
1980,postmaster,41940,0.438721984,0.561278016,,,,
2008,proprietor,21644088,0.385798237,0.614201763,,,,
2009,economist,215959,0.518751244,0.481248756,,,,
2013,artist,258063,0.46303422,0.53696578,,,,
2000,author,196806,0.543977318,0.456022682,,,,
1910,inspector,72734,0.033106938,0.966893062,,,,
2007,lumberjack,54996,0.140664776,0.859335224,,,,
1960,osteopath,4540,0.136563877,0.863436123,,,,
2003,engineer,2944790,0.162947103,0.837052897,,,,
1990,economist,168195,0.442040489,0.557959511,,,,
2012,dancer,39066,0.819971331,0.180028669,,,,
2009,shoemaker,252107,0.035445267,0.964554733,,,,
1950,athlete,54854,0.223210705,0.776789295,,,,
1980,laborer,7367540,0.174109676,0.825890324,,,,
1930,eletrotyper,7745.73,0.018372703,0.981627297,,,,
2011,police,1078361,0.165772872,0.834227128,,,,
2005,veterinarian,71253,0.463910291,0.536089709,,,,
1920,blacksmith,201502.99,0.003488583,0.996511417,,,,
1990,janitor,4429209,0.44569177,0.55430823,,,,
1880,student,2346433.02,0.514154757,0.485845243,,,,
1960,pilot,29000,0.006206897,0.993793103,,,,
1960,electrician,388440,0.011481825,0.988518175,,,,
2013,plumber,642716,0.014295583,0.985704417,,,,
1870,secretary,417.03,0,1,,,,
1920,draftsperson,53407.62,0.028860301,0.971139699,,,,
1970,baker,287900,0.332754429,0.667245571,,,,
1940,waitstaff,611547,0.667139239,0.332860761,,,,
2004,setter,114266,0.052596573,0.947403427,,,,
2002,clerk,697007,0.327827411,0.672172589,,,,
2001,plasterer,48896,0.00858966,0.99141034,,,,
1860,dancer,293.13,0.336608331,0.663391669,,,,
2006,entertainer,279818,0.572397058,0.427602942,,,,
1850,jeweler,11605.05,0,1,,,,
2012,architect,402191,0.222120833,0.777879167,,,,
1870,veterinarian,1006.64,0,1,,,,
1950,cook,489681,0.525141878,0.474858122,,,,
2007,statistician,68088,0.440004112,0.559995888,,,,
2015,author,300755,0.588030124,0.411969876,,,,
1870,weaver,21297.02,0.451189885,0.548810115,,,,
2000,doctor,787375,0.268296555,0.731703445,,,,
1850,compositor,16125.67,0,1,,,,
2000,driver,4901483,0.123965339,0.876034661,,,,
2015,clerk,777299,0.316187207,0.683812793,,,,
1900,pharmacist,54098.47,0.024403463,0.975596537,,,,
1960,newsperson,450360,0.184963141,0.815036859,,,,
1920,dietitian,1638.03,0.935428533,0.064571467,,,,
2003,entertainer,253684,0.581029943,0.418970057,,,,
1920,guard,130369.54,0.009420529,0.990579471,,,,
2002,sales,8508011,0.458426887,0.541573113,,,,
1910,musician,146911,0.62665151,0.37334849,,,,
1860,jeweler,17120.06,0.017079379,0.982920621,,,,
1940,conductor,64742,0.010812147,0.989187853,,,,
1900,administrator,39762.61,0.034090066,0.965909934,,,,
2012,police,1102307,0.168024879,0.831975121,,,,
1900,farmer,5824509.99,0.060634594,0.939365406,,,,
1910,osteopath,2209,0.22725215,0.77274785,,,,
1950,dancer,15477,0.786521936,0.213478064,,,,
2010,tradesperson,6188207,0.040190317,0.959809683,,,,
1930,administrator,101644.04,0.11139207,0.88860793,,,,
2007,newsperson,821243,0.589635467,0.410364533,,,,
2014,jeweler,117877,0.225149944,0.774850056,,,,
1880,bootblack,2027.13,0,1,,,,
1970,gardener,1121100,0.035054857,0.964945143,,,,
2009,typesetter,54715,0.495257242,0.504742758,,,,
2009,nutritionist,105358,0.898137778,0.101862222,,,,
2014,plasterer,36511,0.007970201,0.992029799,,,,
2007,conductor,66591,0.061765103,0.938234897,,,,
1860,pharmacist,9610.91,0.020901247,0.979098753,,,,
1860,operator,3963.8,0,1,,,,
1970,professor,1112900,0.328511097,0.671488903,,,,
2009,surveyor,141011,0.143768926,0.856231074,,,,
1900,operator,188209.09,0.11693075,0.88306925,,,,
2013,draftsperson,189637,0.193005584,0.806994416,,,,
1980,sheriff,70380,0.13867576,0.86132424,,,,
2009,guard,2003089,0.254960713,0.745039287,,,,
2003,tradesperson,6421117,0.050573132,0.949426868,,,,
1960,manager,5187300,0.167123552,0.832876448,,,,
1850,lawyer,24246.72,0,1,,,,
2012,bailiff,16478,0.281526884,0.718473116,,,,
1970,sales,13253400,0.533470657,0.466529343,,,,
2001,surveyor,122374,0.11471391,0.88528609,,,,
1920,operator,539402.03,0.400962914,0.599037086,,,,
2014,clergy,695198,0.321735678,0.678264322,,,,
2007,manager,21838017,0.385905689,0.614094311,,,,
2008,electrician,1021026,0.021646853,0.978353147,,,,
1940,janitor,461422,0.182537894,0.817462106,,,,
2002,driver,4941211,0.128158462,0.871841538,,,,
1950,instructor,118019,0.262279802,0.737720198,,,,
1920,laborer,9248929.13,0.110654482,0.889345518,,,,
2007,machinist,463457,0.052481676,0.947518324,,,,
2008,plumber,724570,0.016015016,0.983984984,,,,
1880,mechanic,1426427.17,0.224390783,0.775609217,,,,
1920,physician,135427.54,0.043588106,0.956411894,,,,
1850,mechanic,196951.67,0,1,,,,
1920,plumber,216152.55,0.002831611,0.997168389,,,,
1970,peddler,416300,0.827768436,0.172231564,,,,
2009,clergy,649764,0.316013199,0.683986801,,,,
2014,economist,370410,0.55298723,0.44701277,,,,
1880,gardener,40077.4,0.013860929,0.986139071,,,,
1850,boilermaker,1954.78,0,1,,,,
1910,surgeon,140010,0.050132133,0.949867867,,,,
1970,surveyor,150700,0.053749171,0.946250829,,,,
2008,psychologist,199888,0.680546106,0.319453894,,,,
2010,physicist,15673,0.17444012,0.82555988,,,,
2004,photographer,219561,0.397693579,0.602306421,,,,
1910,porter,118420,0.00930586,0.99069414,,,,
2012,nurse,4971631,0.875500414,0.124499586,,,,
1880,professor,3717.11,0.074907657,0.925092343,,,,
2004,lawyer,1104314,0.324369699,0.675630301,,,,
1930,machinist,646361.76,0.009395714,0.990604286,,,,
2007,conservationist,49840,0.148134029,0.851865971,,,,
1930,painter,97611.19,0.056424064,0.943575936,,,,
