Census year,Occupation,Total Weight,Female,Male,,,,
1960,midwife,2040,0.901960784,0.098039216,,,,
2006,lumberjack,67837,0.139614075,0.860385925,,,,
2011,sales,8541534,0.454105668,0.545894332,,,,
2005,typesetter,68938,0.492007311,0.507992689,,,,
1950,artist,83250,0.366186186,0.633813814,,,,
2008,dietitian,110292,0.890354695,0.109645305,,,,
1930,clergy,181951.52,0.143444638,0.856555362,,,,
1850,welder,104.03,0,1,,,,
2014,painter,183078,0.137995827,0.862004173,,,,
1950,statistician,24374,0.342783294,0.657216706,,,,
2000,bailiff,11802,0.302830029,0.697169971,,,,
2000,compositor,99786,0.488264887,0.511735113,,,,
1940,lawyer,171634,0.027313935,0.972686065,,,,
1850,tailor,55955.98,0,1,,,,
2005,doctor,860598,0.311455523,0.688544477,,,,
1850,typesetter,16125.67,0,1,,,,
1870,fireperson,5395.19,0,1,,,,
2012,instructor,1711168,0.498439662,0.501560338,,,,
2010,conductor,49768,0.068939881,0.931060119,,,,
2004,entertainer,270790,0.584006056,0.415993944,,,,
2000,mason,267749,0.011619091,0.988380909,,,,
1910,guard,94578,0.004239887,0.995760113,,,,
2007,lawyer,1128029,0.337324661,0.662675339,,,,
2012,physician,942155,0.34670516,0.65329484,,,,
2013,conductor,57599,0.064271949,0.935728051,,,,
1990,technician,2725160,0.461260256,0.538739744,,,,
2004,plumber,699610,0.012851446,0.987148554,,,,
2011,housekeeper,146091,0.745302585,0.254697415,,,,
1870,welder,289.9,0,1,,,,
2003,bartender,446086,0.57521868,0.42478132,,,,
1950,mathematician,2309,0.292334344,0.707665656,,,,
2001,librarian,2419653,0.868267888,0.131732112,,,,
1980,bookbinder,38240,0.613493724,0.386506276,,,,
2003,laborer,6930522,0.165307606,0.834692394,,,,
1950,stereotyper,20775,0.077930205,0.922069795,,,,
1960,tradesperson,4093400,0.05800557,0.94199443,,,,
2014,athlete,452480,0.37863552,0.62136448,,,,
1860,clergy,38892.81,0.059498144,0.940501856,,,,
