SOC_Codes_2018,Occupation,Female,Male,Total,ma,fe
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters",machinist,0.21875,0.78125,160,125,35
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic",machinist,0,1,307,307,0
PRD-Tool And Die Makers,toolmaker,0,1,185,185,0
"PRD-Welding, Soldering, And Brazing Workers",welder,0.056189037,0.943810963,7279,6870,409
PRD-Other Metal Workers And Plastic Workers,worker,0.180197269,0.819802731,2636,2161,475
PRD-Prepress Technicians And Workers,technician,0.427419355,0.572580645,248,142,106
PRD-Printing Press Operators,operator,0.226151698,0.773848302,2149,1663,486
PRD-Print Binding And Finishing Workers,worker,0.79494382,0.20505618,356,73,283
PRD-Laundry And Dry-Cleaning Workers,worker,0.620642202,0.379357798,2180,827,1353
"PRD-Pressers, Textile, Garment, And Related Materials",presser,0.261580381,0.738419619,367,271,96
PRD-Sewing Machine Operators,operator,0.894761242,0.105238758,2157,227,1930
PRD-Shoe And Leather Workers,shoemaker,0.101910828,0.898089172,157,141,16
"PRD-Tailors, Dressmakers, And Sewers",tailor,0.744354839,0.255645161,1240,317,923
"PRD-Textile Machine Setters, Operators, And Tenders",setter,0.914110429,0.085889571,163,14,149
PRD-Upholsterers,upholsterer,0.09148265,0.90851735,317,288,29
"PRD-Other Textile, Apparel, And Furnishings Workers",worker,0.4765625,0.5234375,256,134,122
PRD-Cabinetmakers And Bench Carpenters,cabinetmaker,0.077464789,0.922535211,1278,1179,99
PRD-Furniture Finishers,finisher,0.278846154,0.721153846,208,150,58
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood",setter,0.055319149,0.944680851,235,222,13
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing",setter,0.114613181,0.885386819,349,309,40
PRD-Other Woodworkers,woodworker,0.078507079,0.921492921,777,716,61
"PRD-Power Plant Operators, Distributors, And Dispatchers",operator,0,1,711,711,0
PRD-Stationary Engineers And Boiler Operators,operator,0.008421053,0.991578947,950,942,8
PRD-Water And Wastewater Treatment Plant And System Operators,operator,0.102402023,0.897597977,791,710,81
PRD-Miscellaneous Plant And System Operators,operator,0.094027954,0.905972046,787,713,74
"PRD-Chemical Processing Machine Setters, Operators, And Tenders",setter,0.117647059,0.882352941,544,480,64
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers",worker,0.127183788,0.872816212,1431,1249,182
PRD-Cutting Workers,worker,0.383141762,0.616858238,1305,805,500
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders",setter,0.046332046,0.953667954,259,247,12
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders",operator,0.010928962,0.989071038,183,181,2
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",inspector,0.387142985,0.612857015,11169,6845,4324
PRD-Jewelers And Precious Stone And Metal Workers,jeweler,0.675675676,0.324324324,666,216,450
PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians,technician,0.444193912,0.555806088,887,493,394
PRD-Packaging And Filling Machine Operators And Tenders,technician,0.562029619,0.437970381,4119,1804,2315
PRD-Painting Workers,painter,0.122754491,0.877245509,2004,1758,246
PRD-Photographic Process Workers And Processing Machine Operators,operator,0.440625,0.559375,640,358,282
PRD-Computer Numerically Controlled Tool Operators And Programmers,toolmaker,0.297888386,0.702111614,1326,931,395
PRD-Adhesive Bonding Machine Operators And Tenders,operator,0.171717172,0.828282828,198,164,34
PRD-Etchers And Engravers,engraver,0.715447154,0.284552846,246,70,176
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic",caster,0.216772152,0.783227848,632,495,137
"PRD-Paper Goods Machine Setters, Operators, And Tenders",setter,0.109195402,0.890804598,174,155,19
PRD-Helpers--Production Workers,worker,0.334894614,0.665105386,427,284,143
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders",operator,0.338953789,0.661046211,17377,11487,5890
TRN-Aircraft Pilots And Flight Engineers,pilot,0.069818988,0.930181012,2707,2518,189
TRN-Air Traffic Controllers And Airfield Operations Specialists,operator,0.067088608,0.932911392,790,737,53
TRN-Flight Attendants,attendant,0.735827664,0.264172336,1764,466,1298
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians",driver,0.333333333,0.666666667,51,34,17
TRN-Driver/Sales Workers And Truck Drivers,driver,0.080568084,0.919431916,37248,34247,3001
"TRN-Bus Drivers, School",driver,0.512144344,0.487855656,2882,1406,1476
"TRN-Bus Drivers, Transit And Intercity",driver,0.301437556,0.698562444,2226,1555,671
TRN-Shuttle Drivers and Chauffeurs,driver,0.199792961,0.800207039,966,773,193
TRN-Taxi Drivers,driver,0.235438884,0.764561116,2438,1864,574
"TRN-Motor Vehicle Operators, All Other",operator,0.219683656,0.780316344,569,444,125
TRN-Locomotive Engineers And Operators,engineer,0.019061584,0.980938416,682,669,13
TRN-Railroad Conductors And Yardmasters,conductor,0,1,794,794,0
TRN-Other Rail Transportation Workers,worker,0.213414634,0.786585366,164,129,35
TRN-Ship And Boat Captains And Operators,operator,0.355263158,0.644736842,76,49,27
"TRN-Sailors And Marine Oilers, And Ship Engineers",sailor,0,1,41,41,0
TRN-Parking Attendants,attendant,0.147252747,0.852747253,455,388,67
TRN-Transportation Service Attendants,attendant,0.114189189,0.885810811,1480,1311,169
TRN-Transportation Inspectors,inspector,0.012820513,0.987179487,312,308,4
TRN-Passenger Attendants,attendant,0.496621622,0.503378378,296,149,147
TRN-Other Transportation Workers,worker,0.067039106,0.932960894,179,167,12
TRN-Crane And Tower Operators,operator,0,1,386,386,0
TRN-Industrial Truck And Tractor Operators,operator,0.067621321,0.932378679,6285,5860,425
TRN-Cleaners Of Vehicles And Equipment,laborer,0.259028414,0.740971586,5455,4042,1413
"TRN-Laborers And Freight, Stock, And Material Movers, Hand",laborer,0.206322376,0.793677624,27806,22069,5737
TRN-Machine Feeders And Offbearers,laborer,0.857142857,0.142857143,315,45,270
"TRN-Packers And Packagers, Hand",bagger,0.574270557,0.425729443,6032,2568,3464
TRN-Stockers And Order Fillers,stocker,0.39249503,0.60750497,20120,12223,7897
TRN-Pumping Station Operators,operator,0,1,520,520,0
TRN-Refuse And Recyclable Material Collectors,porter,0.114688129,0.885311871,497,440,57
"TRN-Conveyor, Dredge, And Hoist And Winch Operators",operator,0.064516129,0.935483871,279,261,18
TRN-Other Material Moving Workers,porter,0.142384106,0.857615894,906,777,129
MIL-Military Officer Special And Tactical Operations Leaders,soldier,0.126829268,0.873170732,205,179,26
MIL-First-Line Enlisted Military Supervisors,soldier,0.1,0.9,560,504,56
MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members,technician,0.082882883,0.917117117,555,509,46
"MIL-Military, Rank Not Specified",soldier,0.119233499,0.880766501,1409,1241,168
