Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Utah"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"SCI-Other Life, Physical, And Social Science Technicians","3866","2435","1431"
"SCI-Occupational Health And Safety Specialists And Technicians","690","525","165"
"CMS-Substance Abuse And Behavioral Disorder Counselors","933","336","597"
"CMS-Educational, Guidance, And Career Counselors And Advisors","4062","1341","2721"
"CMS-Marriage And Family Therapists","214","129","85"
"CMS-Mental Health Counselors","1277","570","707"
"CMS-Rehabilitation Counselors","394","162","232"
"CMS-Counselors, All Other","2720","1077","1643"
"CMS-Child, Family, And School Social Workers","709","108","601"
"CMS-Healthcare Social Workers","788","227","561"
"CMS-Mental Health And Substance Abuse Social Workers","307","61","246"
"CMS-Social Workers, All Other","5311","1255","4056"
"CMS-Probation Officers And Correctional Treatment Specialists","646","450","196"
"CMS-Social And Human Service Assistants","1995","807","1188"
"CMS-Other Community And Social Service Specialists","1100","269","831"
"CMS-Clergy","1220","888","332"
"CMS-Directors, Religious Activities And Education","1052","771","281"
"CMS-Religious Workers, All Other","1002","747","255"
"LGL-Judicial Law Clerks","394","94","300"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","9688","7084","2604"
"LGL-Paralegals And Legal Assistants","4303","511","3792"
"LGL-Title Examiners, Abstractors, And Searchers","1105","430","675"
"LGL-Legal Support Workers, All Other","473","240","233"
"EDU-Postsecondary Teachers","19928","11302","8626"
"EDU-Preschool And Kindergarten Teachers","6050","88","5962"
"EDU-Elementary And Middle School Teachers","40545","6864","33681"
"EDU-Secondary School Teachers","11907","4771","7136"
"EDU-Special Education Teachers","2770","289","2481"
"EDU-Tutors","3804","1107","2697"
"EDU-Other Teachers And Instructors","14225","3989","10236"
"EDU-Archivists, Curators, And Museum Technicians","526","219","307"
"EDU-Librarians And Media Collections Specialists","2797","528","2269"
"EDU-Library Technicians","670","242","428"
"EDU-Teaching Assistants","18278","2598","15680"
"EDU-Other Educational Instruction and Library Workers","1585","570","1015"
"ENT-Artists And Related Workers","3384","1969","1415"
"ENT-Commercial And Industrial Designers","304","119","185"
"ENT-Fashion Designers","513","81","432"
"ENT-Floral Designers","1510","185","1325"
"ENT-Graphic Designers","4527","2006","2521"
"ENT-Interior Designers","1577","426","1151"
"ENT-Merchandise Displayer And Windows Trimmers","154","65","89"
"ENT-Other Designers","4155","2575","1580"
"ENT-Actors","759","350","409"
"ENT-Producers And Directors","1233","864","369"
"ENT-Athletes And Sports Competitors","724","546","178"
"ENT-Coaches And Scouts","5348","2779","2569"
"ENT-Umpires, Referees, And Other Sports Officials","1366","1187","179"
"ENT-Dancers And Choreographers","110","14","96"
"ENT-Music Directors And Composers","197","121","76"
"ENT-Musicians And Singers","1059","578","481"
"ENT-Disc Jockeys, Except Radio","0","0","0"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","460","223","237"
"ENT-Broadcast Announcers And Radio Disc Jockeys","427","371","56"
"ENT-News Analysts, Reporters, And Journalists","762","257","505"
"ENT-Public Relations Specialists","1481","636","845"
"ENT-Editors","1925","609","1316"
"ENT-Technical Writers","1063","429","634"
"ENT-Writers And Authors","3407","1121","2286"
"ENT-Interpreters And Translators","2063","573","1490"
"ENT-Court Reporters And Simultaneous Captioners","260","40","220"
"ENT-Media And Communication Workers, All Other","280","85","195"
"ENT-Photographers","3278","1225","2053"
"ENT-Television, Video, And Film Camera Operators And Editors","1195","1052","143"
"ENT-Other Media And Communication Equipment Workers","1170","1080","90"
"MED-Chiropractors","372","301","71"
"MED-Dentists","1963","1848","115"
"MED-Dietitians And Nutritionists","950","42","908"
"MED-Optometrists","416","403","13"
"MED-Pharmacists","3551","2016","1535"
"MED-Physician Assistants","1384","679","705"
"MED-Podiatrists","57","57","0"
"MED-Occupational Therapists","650","113","537"
"MED-Physical Therapists","2273","1219","1054"
"MED-Radiation Therapists","158","39","119"
"MED-Recreational Therapists","475","157","318"
"MED-Respiratory Therapists","1447","482","965"
"MED-Speech-Language Pathologists","1571","151","1420"
"MED-Other Therapists","2317","815","1502"
"MED-Veterinarians","548","273","275"
"MED-Registered Nurses","26295","3209","23086"
"MED-Nurse Anesthetists","329","280","49"
"MED-Audiologists","142","57","85"
"MED-Nurse Practitioners, And Nurse Midwives","1335","245","1090"
"MED-Physicians","8082","6033","2049"
"MED-Surgeons","417","380","37"
"MED-Acupuncturists","54","0","54"
"MED-Dental Hygienists","2987","107","2880"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","191","42","149"
"MED-Clinical Laboratory Technologists And Technicians","3587","1301","2286"
"MED-Cardiovascular Technologists And Technicians","382","218","164"
"MED-Diagnostic Medical Sonographers","836","256","580"
"MED-Radiologic Technologists And Technicians","1808","486","1322"
"MED-Magnetic Resonance Imaging Technologists","360","158","202"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","100","79","21"
"MED-Emergency Medical Technicians","971","467","504"
"MED-Paramedics","515","448","67"
"MED-Pharmacy Technicians","4900","1043","3857"
"MED-Psychiatric Technicians","872","329","543"
"MED-Surgical Technologists","1135","380","755"
"MED-Veterinary Technologists And Technicians","1052","105","947"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","332","47","285"
"MED-Licensed Practical And Licensed Vocational Nurses","3672","506","3166"
"MED-Medical Records Specialists","2009","497","1512"
"MED-Opticians, Dispensing","647","95","552"
"MED-Miscellaneous Health Technologists And Technicians","1467","386","1081"
"MED-Other Healthcare Practitioners And Technical Occupations","972","386","586"
"HLS-Home Health Aides","2061","225","1836"
"HLS-Personal Care Aides","7000","1689","5311"
"HLS-Nursing Assistants","13906","1862","12044"
"HLS-Orderlies And Psychiatric Aides","484","400","84"
"HLS-Occupational Therapy Assistants And Aides","318","0","318"
"HLS-Physical Therapist Assistants And Aides","1344","369","975"
"HLS-Massage Therapists","3439","532","2907"
"HLS-Dental Assistants","4780","120","4660"
"HLS-Medical Assistants","7620","925","6695"
"HLS-Medical Transcriptionists","553","27","526"
"HLS-Pharmacy Aides","161","49","112"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","175","26","149"
"HLS-Phlebotomists","2071","456","1615"
"HLS-Other Healthcare Support Workers","1377","331","1046"
"PRT-First-Line Supervisors Of Correctional Officers","328","268","60"
"PRT-First-Line Supervisors Of Police And Detectives","852","782","70"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","577","577","0"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","771","611","160"
"PRT-Firefighters","2477","2145","332"
"PRT-Fire Inspectors","229","183","46"
"PRT-Bailiffs","262","258","4"
"PRT-Correctional Officers And Jailers","2138","1739","399"
"PRT-Detectives And Criminal Investigators","927","676","251"
"PRT-Police Officers","6095","5339","756"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","202","166","36"
"PRT-Animal Control Workers","123","29","94"
"PRT-Private Detectives And Investigators","775","509","266"
"PRT-Security Guards And Gambling Surveillance Officers","6490","4841","1649"
"PRT-Crossing Guards And Flaggers","1853","714","1139"
"PRT-Transportation Security Screeners","447","207","240"
"PRT-School Bus Monitors","180","0","180"
"PRT-Other Protective Service Workers","3522","1766","1756"
"EAT-Chefs And Head Cooks","3919","2600","1319"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","7044","2353","4691"
"EAT-Cooks","26100","14811","11289"
"EAT-Food Preparation Workers","15366","5906","9460"
"EAT-Bartenders","2462","1156","1306"
"EAT-Fast Food And Counter Workers","9291","3320","5971"
"EAT-Waiters And Waitresses","21165","7277","13888"
"EAT-Food Servers, Nonrestaurant","1756","400","1356"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","3648","1970","1678"
"EAT-Dishwashers","4010","3087","923"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","3467","553","2914"
"EAT-Food Preparation And Serving Related Workers, All Other","163","6","157"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","2816","1375","1441"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","1402","1300","102"
"CLN-Maids And Housekeeping Cleaners","15061","1499","13562"
"CLN-Janitors And Building Cleaners","33372","20287","13085"
"CLN-Pest Control Workers","1081","1032","49"
"CLN-Landscaping And Groundskeeping Workers","14729","12927","1802"
"CLN-Tree Trimmers And Pruners","767","759","8"
"CLN-Other Grounds Maintenance Workers","925","831","94"
"PRS-Supervisors of Personal Care And Service Workers","974","153","821"
"PRS-Animal Trainers","324","107","217"
"PRS-Animal Caretakers","2833","520","2313"
"PRS-Gambling Services Workers","148","90","58"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","908","341","567"
"PRS-Other Entertainment Attendants And Related Workers","4136","2142","1994"
"PRS-Morticians, Undertakers, And Funeral Arrangers","256","227","29"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","127","55","72"
"PRS-Barbers","712","460","252"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","10463","604","9859"
"PRS-Manicurists and Pedicurists","2454","335","2119"
"PRS-Skincare Specialists","920","65","855"
"PRS-Other Personal Appearance Workers","399","0","399"
"PRS-Baggage Porters, Bellhops, And Concierges","633","584","49"
"PRS-Tour And Travel Guides","1220","747","473"
"PRS-Childcare Workers","16698","773","15925"
"PRS-Exercise Trainers And Group Fitness Instructors","3053","667","2386"
"PRS-Recreation Workers","3542","1040","2502"
"PRS-Residential Advisors","529","194","335"
"PRS-Personal Care And Service Workers, All Other","1725","735","990"
"SAL-First-Line Supervisors Of Retail Sales Workers","36575","18647","17928"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","13446","9674","3772"
"SAL-Cashiers","39626","11594","28032"
"SAL-Counter And Rental Clerks","875","412","463"
"SAL-Parts Salespersons","807","706","101"
"SAL-Retail Salespersons","39476","19819","19657"
"SAL-Advertising Sales Agents","1497","950","547"
"SAL-Insurance Sales Agents","6447","3866","2581"
"SAL-Securities, Commodities, And Financial Services Sales Agents","2605","1883","722"
"SAL-Travel Agents","1058","383","675"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","10421","8194","2227"
"SAL-Sales Representatives, Wholesale And Manufacturing","14540","11226","3314"
"SAL-Models, Demonstrators, And Product Promoters","983","181","802"
"SAL-Real Estate Brokers And Sales Agents","12436","6190","6246"
"SAL-Sales Engineers","305","201","104"
"SAL-Telemarketers","2260","940","1320"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","2924","1074","1850"
"SAL-Sales And Related Workers, All Other","3646","2162","1484"
"OFF-First-Line Supervisors Of Office And Administrative Support Workers","15416","6044","9372"
"OFF-Switchboard Operators, Including Answering Service","417","139","278"
"OFF-Telephone Operators","954","451","503"
"OFF-Communications Equipment Operators, All Other","472","291","181"
"OFF-Bill And Account Collectors","3443","1161","2282"
"OFF-Billing And Posting Clerks","6585","895","5690"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","14001","2398","11603"
"OFF-Payroll And Timekeeping Clerks","1485","150","1335"
"OFF-Procurement Clerks","357","235","122"
"OFF-Tellers","5140","870","4270"
"OFF-Other Financial Clerks","1323","635","688"
"OFF-Court, Municipal, And License Clerks","971","231","740"
"OFF-Credit Authorizers, Checkers, And Clerks","677","171","506"
"OFF-Customer Service Representatives","55820","20072","35748"
"OFF-Eligibility Interviewers, Government Programs","1101","258","843"
"OFF-File Clerks","3104","894","2210"
"OFF-Hotel, Motel, And Resort Desk Clerks","2241","943","1298"
"OFF-Interviewers, Except Eligibility And Loan","2282","763","1519"
"OFF-Library Assistants, Clerical","1055","179","876"
"OFF-Loan Interviewers And Clerks","2003","444","1559"
"OFF-New Accounts Clerks","205","29","176"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","682","111","571"
"OFF-Receptionists And Information Clerks","20981","3347","17634"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","3234","791","2443"
"OFF-Correspondence Clerks And Order Clerks","2239","1083","1156"
"OFF-Other Information And Records Clerks","1511","403","1108"
"OFF-Cargo And Freight Agents","72","72","0"
"OFF-Couriers And Messengers","3002","2278","724"
"OFF-Public Safety Telecommunicators","1108","237","871"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","2202","962","1240"
"OFF-Meter Readers, Utilities","365","230","135"
"OFF-Postal Service Clerks","1078","571","507"
"OFF-Postal Service Mail Carriers","2828","1704","1124"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","881","434","447"
"OFF-Production, Planning, And Expediting Clerks","3839","1892","1947"
"OFF-Shipping, Receiving, And Inventory Clerks","8790","5187","3603"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","1205","642","563"
"OFF-Executive Secretaries And Executive Administrative Assistants","3010","194","2816"
"OFF-Legal Secretaries And Administrative Assistants","1086","14","1072"
"OFF-Medical Secretaries And Administrative Assistants","1248","45","1203"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","33679","1491","32188"
"OFF-Data Entry Keyers","6210","1322","4888"
"OFF-Word Processors And Typists","3030","398","2632"
"OFF-Insurance Claims And Policy Processing Clerks","3274","577","2697"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","1055","638","417"
"OFF-Office Clerks, General","14660","3359","11301"
"OFF-Office Machine Operators, Except Computer","511","132","379"
"OFF-Proofreaders And Copy Markers","91","82","9"
"OFF-Statistical Assistants","121","49","72"
"OFF-Other Office And Administrative Support Workers","5892","1356","4536"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","409","278","131"
"FFF-Agricultural Inspectors","41","32","9"
"FFF-Graders And Sorters, Agricultural Products","247","156","91"
"FFF-Other Agricultural Workers","6526","4925","1601"
"FFF-Fishing And Hunting Workers","137","120","17"
"FFF-Forest And Conservation Workers","95","77","18"
"FFF-Logging Workers","32","28","4"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","8402","8254","148"
"CON-Boilermakers","17","17","0"
"CON-Carpenters","13609","13316","293"
"CON-Carpet, Floor, And Tile Installers And Finishers","2688","2361","327"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","1476","1437","39"
"CON-Construction Laborers","23045","22157","888"
"CON-Construction Equipment Operators","5521","5368","153"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","1958","1958","0"
"CON-Electricians","10351","10220","131"
"CON-Glaziers","766","766","0"
"CON-Insulation Workers","847","847","0"
"CON-Painters And Paperhangers","6004","5379","625"
"CON-Pipelayers","751","751","0"
"CON-Plumbers, Pipefitters, And Steamfitters","6292","6276","16"
"CON-Plasterers And Stucco Masons","801","801","0"
"CON-Roofers","2497","2471","26"
"CON-Sheet Metal Workers","1529","1498","31"
"CON-Structural Iron And Steel Workers","1078","1078","0"
"CON-Solar Photovoltaic Installers","315","280","35"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","1784","1749","35"
"CON-Helpers, Construction Trades","222","178","44"
"CON-Construction And Building Inspectors","1171","1060","111"
"CON-Elevator And Escalator Installers And Repairers","181","181","0"
"CON-Fence Erectors","363","363","0"
"CON-Hazardous Materials Removal Workers","368","354","14"
"CON-Highway Maintenance Workers","1246","1246","0"
"CON-Rail-Track Laying And Maintenance Equipment Operators","81","81","0"
"CON-Other Construction And Related Workers","510","510","0"
"EXT-Surface Mining Machine Operators And Earth Drillers","512","512","0"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","546","523","23"
"EXT-Underground Mining Machine Operators","1208","1155","53"
"EXT-Other Extraction Workers","1377","1360","17"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil, Gas, And Mining","821","803","18"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","2849","2627","222"
"RPR-Computer, Automated Teller, And Office Machine Repairers","2081","1756","325"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","1869","1798","71"
"RPR-Avionics Technicians","173","107","66"
"RPR-Electric Motor, Power Tool, And Related Repairers","205","205","0"
"RPR-Audiovisual Equipment Installers And Repairers","282","258","24"
"RPR-Security And Fire Alarm Systems Installers","853","829","24"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","392","373","19"
"RPR-Aircraft Mechanics And Service Technicians","2546","2416","130"
"RPR-Automotive Body And Related Repairers","1158","1143","15"
"RPR-Automotive Glass Installers And Repairers","410","379","31"
"RPR-Automotive Service Technicians And Mechanics","9768","9571","197"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","3805","3527","278"
