Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Utah"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Etchers And Engravers","246","70","176"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","632","495","137"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","174","155","19"
"PRD-Tire Builders","0","0","0"
"PRD-Helpers--Production Workers","427","284","143"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","17377","11487","5890"
"TRN-Supervisors Of Transportation And Material Moving Workers","2498","1815","683"
"TRN-Aircraft Pilots And Flight Engineers","2707","2518","189"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","790","737","53"
"TRN-Flight Attendants","1764","466","1298"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","51","34","17"
"TRN-Driver/Sales Workers And Truck Drivers","37248","34247","3001"
"TRN-Bus Drivers, School","2882","1406","1476"
"TRN-Bus Drivers, Transit And Intercity","2226","1555","671"
"TRN-Shuttle Drivers and Chauffeurs","966","773","193"
"TRN-Taxi Drivers","2438","1864","574"
"TRN-Motor Vehicle Operators, All Other","569","444","125"
"TRN-Locomotive Engineers And Operators","682","669","13"
"TRN-Railroad Conductors And Yardmasters","794","794","0"
"TRN-Other Rail Transportation Workers","164","129","35"
"TRN-Ship And Boat Captains And Operators","76","49","27"
"TRN-Sailors And Marine Oilers, And Ship Engineers","41","41","0"
"TRN-Parking Attendants","455","388","67"
"TRN-Transportation Service Attendants","1480","1311","169"
"TRN-Transportation Inspectors","312","308","4"
"TRN-Passenger Attendants","296","149","147"
"TRN-Other Transportation Workers","179","167","12"
"TRN-Crane And Tower Operators","386","386","0"
"TRN-Industrial Truck And Tractor Operators","6285","5860","425"
"TRN-Cleaners Of Vehicles And Equipment","5455","4042","1413"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","27806","22069","5737"
"TRN-Machine Feeders And Offbearers","315","45","270"
"TRN-Packers And Packagers, Hand","6032","2568","3464"
"TRN-Stockers And Order Fillers","20120","12223","7897"
"TRN-Pumping Station Operators","520","520","0"
"TRN-Refuse And Recyclable Material Collectors","497","440","57"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","279","261","18"
"TRN-Other Material Moving Workers","906","777","129"
"MIL-Military Officer Special And Tactical Operations Leaders","205","179","26"
"MIL-First-Line Enlisted Military Supervisors","560","504","56"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","555","509","46"
"MIL-Military, Rank Not Specified","1409","1241","168"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","9517","4567","4950"
