SOC_Codes_2018,Occupation,Total,ma,fe,Female,Male
"RPR-Computer, Automated Teller, And Office Machine Repairers",repairer,4392,3821,571,0.130009107,0.869990893
RPR-Radio And Telecommunications Equipment Installers And Repairers,repairer,3468,3117,351,0.101211073,0.898788927
RPR-Avionics Technicians,technician,251,251,0,0,1
"RPR-Electric Motor, Power Tool, And Related Repairers",repairer,366,357,9,0.024590164,0.975409836
RPR-Audiovisual Equipment Installers And Repairers,repairer,493,431,62,0.125760649,0.874239351
RPR-Security And Fire Alarm Systems Installers,installer,1461,1432,29,0.019849418,0.980150582
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers",mechanic,307,307,0,0,1
RPR-Aircraft Mechanics And Service Technicians,mechanic,1779,1756,23,0.012928612,0.987071388
RPR-Automotive Body And Related Repairers,mechanic,3086,3037,49,0.015878159,0.984121841
RPR-Automotive Glass Installers And Repairers,mechanic,364,364,0,0,1
RPR-Automotive Service Technicians And Mechanics,mechanic,17877,17437,440,0.024612631,0.975387369
RPR-Bus And Truck Mechanics And Diesel Engine Specialists,mechanic,5453,5453,0,0,1
RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics,mechanic,3203,3158,45,0.014049329,0.985950671
RPR-Small Engine Mechanics,mechanic,876,876,0,0,1
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers",mechanic,1014,999,15,0.014792899,0.985207101
RPR-Control And Valve Installers And Repairers,mechanic,437,371,66,0.151029748,0.848970252
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers",mechanic,9692,9567,125,0.012897235,0.987102765
RPR-Home Appliance Repairers,repairer,963,915,48,0.049844237,0.950155763
"RPR-Maintenance Workers, Machinery",mechanic,192,192,0,0,1
RPR-Millwrights,millwright,552,552,0,0,1
RPR-Industrial And Refractory Machinery Mechanics,mechanic,6540,6312,228,0.034862385,0.965137615
RPR-Electrical Power-Line Installers And Repairers,electrician,2195,2167,28,0.012756264,0.987243736
RPR-Telecommunications Line Installers And Repairers,electrician,2433,2298,135,0.055487053,0.944512947
RPR-Precision Instrument And Equipment Repairers,mechanic,1590,1373,217,0.136477987,0.863522013
"RPR-Maintenance And Repair Workers, General",mechanic,10593,10254,339,0.032002266,0.967997734
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers",mechanic,263,224,39,0.148288973,0.851711027
RPR-Locksmiths And Safe Repairers,smith,454,454,0,0,1
RPR-Riggers,rigger,173,173,0,0,1
"RPR-Helpers--Installation, Maintenance, And Repair Workers",repairer,187,187,0,0,1
"RPR-Other Installation, Maintenance, And Repair Workers",installer,5277,4952,325,0.061588023,0.938411977
PRD-First-Line Supervisors Of Production And Operating Workers,operator,15304,11543,3761,0.245752744,0.754247256
"PRD-Electrical, Electronics, And Electromechanical Assemblers",mechanic,4186,2021,2165,0.517200191,0.482799809
PRD-Engine And Other Machine Assemblers,assembler,141,141,0,0,1
PRD-Structural Metal Fabricators And Fitters,fabricator,452,423,29,0.064159292,0.935840708
PRD-Other Assemblers and Fabricators,operator,19126,10523,8603,0.449806546,0.550193454
PRD-Bakers,baker,7669,3339,4330,0.564610771,0.435389229
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers",butcher,4452,3836,616,0.13836478,0.86163522
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders",operator,56,44,12,0.214285714,0.785714286
PRD-Food Batchmakers,operator,1901,766,1135,0.597054182,0.402945818
PRD-Food Cooking Machine Operators And Tenders,operator,473,290,183,0.386892178,0.613107822
"PRD-Food Processing Workers, All Other",worker,2110,1529,581,0.27535545,0.72464455
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic",setter,505,433,72,0.142574257,0.857425743
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic",setter,855,733,122,0.142690058,0.857309942
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic",setter,632,405,227,0.359177215,0.640822785
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic",setter,250,137,113,0.452,0.548
PRD-Machinists,machinist,9934,9777,157,0.015804308,0.984195692
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters",machinist,285,285,0,0,1
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic",machinist,793,641,152,0.191677175,0.808322825
PRD-Tool And Die Makers,toolmaker,1130,1094,36,0.031858407,0.968141593
"PRD-Welding, Soldering, And Brazing Workers",welder,7124,6364,760,0.10668164,0.89331836
PRD-Other Metal Workers And Plastic Workers,worker,8631,7451,1180,0.136716487,0.863283513
PRD-Prepress Technicians And Workers,technician,909,575,334,0.367436744,0.632563256
PRD-Printing Press Operators,operator,4514,3579,935,0.207133363,0.792866637
PRD-Print Binding And Finishing Workers,worker,513,355,158,0.307992203,0.692007797
PRD-Laundry And Dry-Cleaning Workers,worker,4675,1558,3117,0.666737968,0.333262032
"PRD-Pressers, Textile, Garment, And Related Materials",presser,718,365,353,0.491643454,0.508356546
PRD-Sewing Machine Operators,operator,3826,900,2926,0.764767381,0.235232619
PRD-Shoe And Leather Workers,shoemaker,446,330,116,0.260089686,0.739910314
"PRD-Tailors, Dressmakers, And Sewers",tailor,1901,370,1531,0.805365597,0.194634403
"PRD-Textile Machine Setters, Operators, And Tenders",setter,381,148,233,0.611548556,0.388451444
PRD-Upholsterers,upholsterer,302,235,67,0.221854305,0.778145695
"PRD-Other Textile, Apparel, And Furnishings Workers",worker,175,119,56,0.32,0.68
PRD-Cabinetmakers And Bench Carpenters,cabinetmaker,1144,1114,30,0.026223776,0.973776224
PRD-Furniture Finishers,finisher,247,201,46,0.186234818,0.813765182
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood",setter,160,160,0,0,1
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing",setter,294,211,83,0.282312925,0.717687075
PRD-Other Woodworkers,woodworker,746,663,83,0.111260054,0.888739946
"PRD-Power Plant Operators, Distributors, And Dispatchers",operator,741,686,55,0.074224022,0.925775978
PRD-Stationary Engineers And Boiler Operators,operator,2114,2026,88,0.041627247,0.958372753
PRD-Water And Wastewater Treatment Plant And System Operators,operator,2190,2018,172,0.078538813,0.921461187
PRD-Miscellaneous Plant And System Operators,operator,290,245,45,0.155172414,0.844827586
"PRD-Chemical Processing Machine Setters, Operators, And Tenders",setter,804,548,256,0.31840796,0.68159204
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers",worker,1923,1773,150,0.07800312,0.92199688
PRD-Cutting Workers,worker,1311,987,324,0.247139588,0.752860412
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders",setter,680,621,59,0.086764706,0.913235294
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders",operator,146,146,0,0,1
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",inspector,18755,11386,7369,0.392908558,0.607091442
PRD-Jewelers And Precious Stone And Metal Workers,jeweler,1464,704,760,0.519125683,0.480874317
PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians,technician,1982,977,1005,0.507063572,0.492936428
PRD-Packaging And Filling Machine Operators And Tenders,technician,4352,1670,2682,0.616268382,0.383731618
PRD-Painting Workers,painter,2492,2187,305,0.122391653,0.877608347
PRD-Photographic Process Workers And Processing Machine Operators,operator,485,333,152,0.313402062,0.686597938
PRD-Computer Numerically Controlled Tool Operators And Programmers,toolmaker,2978,2593,385,0.129281397,0.870718603
PRD-Adhesive Bonding Machine Operators And Tenders,operator,102,85,17,0.166666667,0.833333333
PRD-Etchers And Engravers,engraver,324,202,122,0.37654321,0.62345679
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic",caster,735,637,98,0.133333333,0.866666667
"PRD-Paper Goods Machine Setters, Operators, And Tenders",setter,522,336,186,0.356321839,0.643678161
PRD-Tire Builders,recapper,75,60,15,0.2,0.8
PRD-Helpers--Production Workers,worker,1034,775,259,0.250483559,0.749516441
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders",operator,21936,15751,6185,0.281956601,0.718043399
TRN-Aircraft Pilots And Flight Engineers,pilot,1721,1589,132,0.076699593,0.923300407
TRN-Air Traffic Controllers And Airfield Operations Specialists,operator,476,230,246,0.516806723,0.483193277
TRN-Flight Attendants,attendant,1926,361,1565,0.812564901,0.187435099
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians",driver,605,486,119,0.196694215,0.803305785
TRN-Driver/Sales Workers And Truck Drivers,driver,67438,63020,4418,0.065512026,0.934487974
"TRN-Bus Drivers, School",driver,8599,4283,4316,0.501918828,0.498081172
"TRN-Bus Drivers, Transit And Intercity",driver,8286,5861,2425,0.292662322,0.707337678
TRN-Shuttle Drivers and Chauffeurs,driver,6018,4903,1115,0.185277501,0.814722499
TRN-Taxi Drivers,driver,14431,12288,2143,0.148499757,0.851500243
"TRN-Motor Vehicle Operators, All Other",operator,2786,2225,561,0.201363963,0.798636037
TRN-Locomotive Engineers And Operators,engineer,468,386,82,0.175213675,0.824786325
TRN-Railroad Conductors And Yardmasters,conductor,862,746,116,0.134570766,0.865429234
TRN-Other Rail Transportation Workers,worker,775,548,227,0.292903226,0.707096774
TRN-Ship And Boat Captains And Operators,operator,1069,991,78,0.072965388,0.927034612
"TRN-Sailors And Marine Oilers, And Ship Engineers",sailor,930,866,64,0.068817204,0.931182796
TRN-Parking Attendants,attendant,3091,2534,557,0.180200582,0.819799418
TRN-Transportation Service Attendants,attendant,2553,2272,281,0.110066588,0.889933412
TRN-Transportation Inspectors,inspector,1081,976,105,0.097132285,0.902867715
TRN-Passenger Attendants,attendant,1445,612,833,0.576470588,0.423529412
TRN-Other Transportation Workers,worker,526,404,122,0.231939163,0.768060837
TRN-Crane And Tower Operators,operator,805,764,41,0.050931677,0.949068323
TRN-Industrial Truck And Tractor Operators,operator,5114,4864,250,0.048885413,0.951114587
TRN-Cleaners Of Vehicles And Equipment,laborer,5952,5165,787,0.132224462,0.867775538
"TRN-laborers And Freight, Stock, And Material Movers, Hand",laborer,52355,41638,10717,0.204698692,0.795301308
TRN-Machine Feeders And Offbearers,laborer,858,191,667,0.777389277,0.222610723
"TRN-Packers And Packagers, Hand",bagger,13446,6113,7333,0.545366652,0.454633348
TRN-Stockers And Order Fillers,stocker,36987,25638,11349,0.306837538,0.693162462
TRN-Pumping Station Operators,operator,51,51,0,0,1
TRN-Refuse And Recyclable Material Collectors,porter,1935,1864,71,0.036692506,0.963307494
"TRN-Conveyor, Dredge, And Hoist And Winch Operators",operator,437,437,0,0,1
TRN-Other Material Moving Workers,porter,1087,988,99,0.091076357,0.908923643
MIL-Military Officer Special And Tactical Operations Leaders,soldier,249,225,24,0.096385542,0.903614458
MIL-First-Line Enlisted Military Supervisors,soldier,605,562,43,0.07107438,0.92892562
MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members,technician,903,836,67,0.074197121,0.925802879
"MIL-Military, Rank Not Specified",soldier,1934,1735,199,0.102895553,0.897104447
