SOC_Codes_2018,Occupation,Total,ma,fe,Female,Male
ENG-Architectural And Civil Drafters,draftsperson,1184,834,350,0.295608108,0.704391892
ENG-Other Drafters,draftsperson,2923,2480,443,0.15155662,0.84844338
ENG-Electrical and Electronic Engineering Technologists And Technicians,technician,2424,2213,211,0.087046205,0.912953795
"ENG-Other Engineering Technologists And Technicians, Except Drafters",technician,8906,6557,2349,0.263754772,0.736245228
ENG-Surveying And Mapping Technicians,surveyor,948,778,170,0.179324895,0.820675105
SCI-Agricultural And Food Scientists,scientist,511,313,198,0.387475538,0.612524462
SCI-Biological Scientists,scientist,4741,2387,2354,0.496519722,0.503480278
SCI-Conservation Scientists And Foresters,conservationist,276,173,103,0.373188406,0.626811594
SCI-Other Life Scientists,scientist,14791,7542,7249,0.490095328,0.509904672
SCI-Astronomers And Physicists,physicist,454,407,47,0.103524229,0.896475771
SCI-Atmospheric And Space Scientists,scientist,156,82,74,0.474358974,0.525641026
SCI-Chemists And Materials Scientists,chemist,3981,2246,1735,0.435820146,0.564179854
"SCI-Environmental Scientists And Specialists, Including Health",scientist,745,488,257,0.344966443,0.655033557
"SCI-Geoscientists And Hydrologists, Except Geographers",geologist,1024,757,267,0.260742188,0.739257813
"SCI-Physical Scientists, All Other",scientist,21727,12381,9346,0.430156027,0.569843973
SCI-Economists,economist,948,721,227,0.239451477,0.760548523
SCI-Clinical And Counseling Psychologists,psychologist,1602,716,886,0.553058677,0.446941323
SCI-School Psychologists,psychologist,2410,389,2021,0.838589212,0.161410788
SCI-Other Psychologists,psychologist,6706,1653,5053,0.753504324,0.246495676
SCI-Urban And Regional Planners,planner,849,293,556,0.654888104,0.345111896
SCI-Agricultural And Food Science Technicians,technician,654,360,294,0.449541284,0.550458716
SCI-Biological Technicians,technician,1771,959,812,0.458498024,0.541501976
SCI-Chemical Technicians,technician,1601,975,626,0.391005621,0.608994379
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians",technician,897,532,365,0.406911929,0.593088071
"SCI-Other Life, Physical, And Social Science Technicians",technician,12930,6227,6703,0.518406806,0.481593194
SCI-Occupational Health And Safety Specialists And Technicians,technician,1515,867,648,0.427722772,0.572277228
CMS-Substance Abuse And Behavioral Disorder Counselors,counselor,4075,1028,3047,0.747730061,0.252269939
"CMS-Educational, Guidance, And Career Counselors And Advisors",counselor,14219,3532,10687,0.751599972,0.248400028
CMS-Marriage And Family Therapists,counselor,1219,228,991,0.812961444,0.187038556
CMS-Mental Health Counselors,counselor,4317,1029,3288,0.761640028,0.238359972
CMS-Rehabilitation Counselors,counselor,1126,248,878,0.779751332,0.220248668
"CMS-Counselors, All Other",counselor,10075,4003,6072,0.602679901,0.397320099
"CMS-Child, Family, And School Social Workers",worker,3335,603,2732,0.819190405,0.180809595
CMS-Healthcare Social Workers,worker,2879,612,2267,0.78742619,0.21257381
CMS-Mental Health And Substance Abuse Social Workers,worker,1235,280,955,0.773279352,0.226720648
"CMS-Social Workers, All Other",worker,24237,4662,19575,0.807649462,0.192350538
CMS-Probation Officers And Correctional Treatment Specialists,police,1628,706,922,0.566339066,0.433660934
CMS-Clergy,clergy,7460,5187,2273,0.304691689,0.695308311
LGL-Judicial Law Clerks,clerk,539,268,271,0.502782931,0.497217069
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",judge,40602,23294,17308,0.426284419,0.573715581
LGL-Paralegals And Legal Assistants,paralegal,11385,2486,8899,0.781642512,0.218357488
"LGL-Title Examiners, Abstractors, And Searchers",abstractor,1513,384,1129,0.746199603,0.253800397
"LGL-Legal Support Workers, All Other",assistant,1233,575,658,0.533657745,0.466342255
EDU-Postsecondary Teachers,professor,67870,34258,33612,0.495240902,0.504759098
EDU-Preschool And Kindergarten Teachers,teacher,22560,646,21914,0.971365248,0.028634752
EDU-Elementary And Middle School Teachers,teacher,98016,19199,78817,0.804123817,0.195876183
EDU-Secondary School Teachers,teacher,28244,12016,16228,0.574564509,0.425435491
EDU-Special Education Teachers,teacher,10402,1530,8872,0.852912901,0.147087099
EDU-Tutors,tutor,8991,3230,5761,0.640751863,0.359248137
EDU-Other Teachers And Instructors,instructor,26020,8921,17099,0.657148347,0.342851653
"EDU-Archivists, Curators, And Museum Technicians",curator,2400,738,1662,0.6925,0.3075
EDU-Librarians And Media Collections Specialists,librarian,7786,1361,6425,0.825199075,0.174800925
EDU-Library Technicians,librarian,2163,873,1290,0.596393897,0.403606103
EDU-Teaching Assistants,teacher,40964,7865,33099,0.808002148,0.191997852
ENT-Artists And Related Workers,artist,7373,3203,4170,0.565577106,0.434422894
ENT-Commercial And Industrial Designers,engineer,726,492,234,0.32231405,0.67768595
ENT-Fashion Designers,designer,876,160,716,0.817351598,0.182648402
ENT-Floral Designers,designer,2362,315,2047,0.866638442,0.133361558
ENT-Graphic Designers,designer,9918,3750,6168,0.621899577,0.378100423
ENT-Interior Designers,designer,2803,305,2498,0.891188013,0.108811987
ENT-Merchandise Displayers And Window Trimmers,designer,365,148,217,0.594520548,0.405479452
ENT-Other Designers,designer,10530,5219,5311,0.504368471,0.495631529
ENT-Actors,performer,927,483,444,0.478964401,0.521035599
ENT-Producers And Directors,producer,3376,1964,1412,0.418246445,0.581753555
ENT-Athletes And Sports Competitors,athlete,1218,1066,152,0.124794745,0.875205255
ENT-Coaches And Scouts,coach,11072,5475,5597,0.505509393,0.494490607
"ENT-Umpires, Referees, And Other Sports Officials",referees,2289,1658,631,0.27566623,0.72433377
ENT-Dancers And Choreographers,dancer,476,224,252,0.529411765,0.470588235
ENT-Music Directors And Composers,songwriter,1289,705,584,0.453064391,0.546935609
ENT-Musicians And Singers,musician,5068,3290,1778,0.350828729,0.649171271
"ENT-Disc Jockeys, Except Radio",deejay,161,161,0,0,1
"ENT-Entertainers And Performers, Sports And Related Workers, All Other",entertainer,1204,788,416,0.34551495,0.65448505
ENT-Broadcast Announcers And Radio Disc Jockeys,announcer,1083,879,204,0.188365651,0.811634349
"ENT-News Analysts, Reporters, And Journalists",newsperson,2399,1251,1148,0.478532722,0.521467278
ENT-Public Relations Specialists,lobbyist,4292,1448,2844,0.662628145,0.337371855
ENT-Editors,editor,8391,3214,5177,0.616970564,0.383029436
ENT-Technical Writers,writer,3551,1627,1924,0.541819206,0.458180794
ENT-Writers And Authors,author,9909,3757,6152,0.620849733,0.379150267
ENT-Interpreters And Translators,translator,3925,1017,2908,0.74089172,0.25910828
ENT-Photographers,photographer,4766,2331,2435,0.510910617,0.489089383
"ENT-Television, Video, And Film Camera Operators And Editors",operator,2065,1568,497,0.240677966,0.759322034
MED-Chiropractors,chiropractor,1173,851,322,0.274509804,0.725490196
MED-Dentists,dentist,5915,3428,2487,0.420456467,0.579543533
MED-Dietitians And Nutritionists,dietitian,3127,256,2871,0.918132395,0.081867605
MED-Optometrists,optometrist,843,426,417,0.494661922,0.505338078
MED-Pharmacists,pharmacist,7310,2919,4391,0.600683995,0.399316005
MED-Physician Assistants,compounder,3362,1221,2141,0.636823319,0.363176681
MED-Podiatrists,podiatrist,381,266,115,0.30183727,0.69816273
MED-Occupational Therapists,therapist,4410,210,4200,0.952380952,0.047619048
MED-Physical Therapists,therapist,8769,2072,6697,0.76371308,0.23628692
MED-Radiation Therapists,therapist,526,190,336,0.63878327,0.36121673
MED-Recreational Therapists,therapist,457,150,307,0.671772429,0.328227571
MED-Respiratory Therapists,therapist,1645,573,1072,0.651671733,0.348328267
MED-Speech-Language Pathologists,therapist,5116,211,4905,0.958756841,0.041243159
MED-Other Therapists,therapist,5895,1171,4724,0.801357082,0.198642918
MED-Veterinarians,veterinarian,2025,508,1517,0.749135802,0.250864198
MED-Registered Nurses,nurse,97516,8024,89492,0.917716067,0.082283933
MED-Nurse Anesthetists,nurse,736,197,539,0.732336957,0.267663043
MED-Audiologists,audiologist,422,113,309,0.732227488,0.267772512
"MED-Nurse Practitioners, And Nurse Midwives",nurse,7220,338,6882,0.953185596,0.046814404
MED-Physicians,physician,32228,17933,14295,0.443558396,0.556441604
MED-Surgeons,surgeon,1579,1180,399,0.252691577,0.747308423
MED-Acupuncturists,acupuncturist,722,175,547,0.757617729,0.242382271
MED-Dental Hygienists,compounder,5856,99,5757,0.983094262,0.016905738
MED-Clinical Laboratory Technologists And Technicians,technician,10458,2886,7572,0.724039013,0.275960987
MED-Cardiovascular Technologists And Technicians,technician,995,302,693,0.696482412,0.303517588
MED-Diagnostic Medical Sonographers,sonographer,2153,416,1737,0.806781235,0.193218765
MED-Radiologic Technologists And Technicians,technician,4792,995,3797,0.79236227,0.20763773
MED-Magnetic Resonance Imaging Technologists,technician,956,367,589,0.616108787,0.383891213
MED-Nuclear Medicine Technologists And Medical Dosimetrists,technician,408,65,343,0.840686275,0.159313725
MED-Emergency Medical Technicians,technician,3794,2218,1576,0.415392725,0.584607275
MED-Paramedics,paramedics,2335,1543,792,0.339186296,0.660813704
MED-Pharmacy Technicians,pharmacist,8926,2230,6696,0.750168048,0.249831952
MED-Psychiatric Technicians,technician,1345,514,831,0.617843866,0.382156134
MED-Surgical Technologists,technician,2292,420,1872,0.816753927,0.183246073
MED-Veterinary Technologists And Technicians,veterinarian,2920,195,2725,0.933219178,0.066780822
MED-Dietetic Technicians And Ophthalmic Medical Technicians,nutritionist,686,143,543,0.79154519,0.20845481
MED-Licensed Practical And Licensed Vocational Nurses,nurse,20451,2907,17544,0.857855362,0.142144638
"MED-Opticians, Dispensing",optician,1538,508,1030,0.66970091,0.33029909
MED-Miscellaneous Health Technologists And Technicians,technician,3519,1574,1945,0.552713839,0.447286161
HLS-Home Health Aides,assistant,15913,1831,14082,0.884936844,0.115063156
HLS-Personal Care Aides,assistant,40757,8222,32535,0.798267782,0.201732218
HLS-Nursing Assistants,assistant,53039,6413,46626,0.879088972,0.120911028
HLS-Orderlies And Psychiatric Aides,assistant,2124,1133,991,0.466572505,0.533427495
