Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: New York"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Other Textile, Apparel, And Furnishings Workers","1641","703","938"
"PRD-Cabinetmakers And Bench Carpenters","2591","2349","242"
"PRD-Furniture Finishers","990","853","137"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","829","804","25"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","396","388","8"
"PRD-Other Woodworkers","2189","2028","161"
"PRD-Power Plant Operators, Distributors, And Dispatchers","3011","2815","196"
"PRD-Stationary Engineers And Boiler Operators","7685","7466","219"
"PRD-Water And Wastewater Treatment Plant And System Operators","4294","4057","237"
"PRD-Miscellaneous Plant And System Operators","939","788","151"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","2899","2471","428"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","3532","3097","435"
"PRD-Cutting Workers","2272","1678","594"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","764","626","138"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","1205","1074","131"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","36148","23693","12455"
"PRD-Jewelers And Precious Stone And Metal Workers","5701","3288","2413"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","6254","3544","2710"
"PRD-Packaging And Filling Machine Operators And Tenders","11040","6043","4997"
"PRD-Painting Workers","5642","4791","851"
"PRD-Photographic Process Workers And Processing Machine Operators","2277","1411","866"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","5601","4966","635"
"PRD-Adhesive Bonding Machine Operators And Tenders","528","487","41"
"PRD-Etchers And Engravers","934","688","246"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","2071","1764","307"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","870","635","235"
"PRD-Tire Builders","478","478","0"
"PRD-Helpers--Production Workers","4764","2943","1821"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","56679","39194","17485"
"TRN-Supervisors Of Transportation And Material Moving Workers","16586","12570","4016"
"TRN-Aircraft Pilots And Flight Engineers","4004","3772","232"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","1756","1339","417"
"TRN-Flight Attendants","7057","2510","4547"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","1978","1552","426"
"TRN-Driver/Sales Workers And Truck Drivers","190464","181956","8508"
"TRN-Bus Drivers, School","38748","22868","15880"
"TRN-Bus Drivers, Transit And Intercity","38335","28998","9337"
"TRN-Shuttle Drivers and Chauffeurs","29361","26779","2582"
"TRN-Taxi Drivers","74086","70283","3803"
"TRN-Motor Vehicle Operators, All Other","5806","5052","754"
"TRN-Locomotive Engineers And Operators","2835","2661","174"
"TRN-Railroad Conductors And Yardmasters","5899","4336","1563"
"TRN-Other Rail Transportation Workers","4582","3817","765"
"TRN-Ship And Boat Captains And Operators","1998","1818","180"
"TRN-Sailors And Marine Oilers, And Ship Engineers","1578","1455","123"
"TRN-Parking Attendants","12154","11446","708"
"TRN-Transportation Service Attendants","5898","5318","580"
"TRN-Transportation Inspectors","4272","3711","561"
"TRN-Passenger Attendants","8076","3327","4749"
"TRN-Other Transportation Workers","1587","1284","303"
"TRN-Crane And Tower Operators","2285","2170","115"
"TRN-Industrial Truck And Tractor Operators","16390","15334","1056"
"TRN-Cleaners Of Vehicles And Equipment","21809","17063","4746"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","118361","99705","18656"
"TRN-Machine Feeders And Offbearers","2009","1064","945"
"TRN-Packers And Packagers, Hand","31076","15660","15416"
"TRN-Stockers And Order Fillers","106445","76499","29946"
"TRN-Pumping Station Operators","472","454","18"
"TRN-Refuse And Recyclable Material Collectors","12571","11374","1197"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","401","336","65"
"TRN-Other Material Moving Workers","4169","3791","378"
"MIL-Military Officer Special And Tactical Operations Leaders","1252","1223","29"
"MIL-First-Line Enlisted Military Supervisors","1980","1652","328"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","6596","6154","442"
"MIL-Military, Rank Not Specified","6198","5381","817"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","121232","62786","58446"
