Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: New York"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"SCI-Agricultural And Food Science Technicians","1480","898","582"
"SCI-Biological Technicians","1136","471","665"
"SCI-Chemical Technicians","3062","1687","1375"
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians","2024","1333","691"
"SCI-Other Life, Physical, And Social Science Technicians","16012","7926","8086"
"SCI-Occupational Health And Safety Specialists And Technicians","3373","2233","1140"
"CMS-Substance Abuse And Behavioral Disorder Counselors","7725","2588","5137"
"CMS-Educational, Guidance, And Career Counselors And Advisors","30778","8576","22202"
"CMS-Marriage And Family Therapists","3009","763","2246"
"CMS-Mental Health Counselors","9202","2013","7189"
"CMS-Rehabilitation Counselors","3368","973","2395"
"CMS-Counselors, All Other","23822","10096","13726"
"CMS-Child, Family, And School Social Workers","11579","2254","9325"
"CMS-Healthcare Social Workers","11699","3036","8663"
"CMS-Mental Health And Substance Abuse Social Workers","3508","922","2586"
"CMS-Social Workers, All Other","64722","12843","51879"
"CMS-Probation Officers And Correctional Treatment Specialists","3933","1511","2422"
"CMS-Social And Human Service Assistants","22112","5980","16132"
"CMS-Other Community And Social Service Specialists","9452","3482","5970"
"CMS-Clergy","22748","17515","5233"
"CMS-Directors, Religious Activities And Education","3710","1126","2584"
"CMS-Religious Workers, All Other","5672","2344","3328"
"LGL-Judicial Law Clerks","1846","928","918"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","131793","79055","52738"
"LGL-Paralegals And Legal Assistants","38882","8745","30137"
"LGL-Title Examiners, Abstractors, And Searchers","5108","1732","3376"
"LGL-Legal Support Workers, All Other","4673","2121","2552"
"EDU-Postsecondary Teachers","125251","62604","62647"
"EDU-Preschool And Kindergarten Teachers","37691","1530","36161"
"EDU-Elementary And Middle School Teachers","293623","67090","226533"
"EDU-Secondary School Teachers","68984","27644","41340"
"EDU-Special Education Teachers","31640","4272","27368"
"EDU-Tutors","21542","8316","13226"
"EDU-Other Teachers And Instructors","61479","24895","36584"
"EDU-Archivists, Curators, And Museum Technicians","7514","2584","4930"
"EDU-Librarians And Media Collections Specialists","16746","3712","13034"
"EDU-Library Technicians","4573","1322","3251"
"EDU-Teaching Assistants","153907","24914","128993"
"EDU-Other Educational Instruction and Library Workers","9941","2999","6942"
"ENT-Artists And Related Workers","28433","14380","14053"
"ENT-Commercial And Industrial Designers","2703","1516","1187"
"ENT-Fashion Designers","5934","811","5123"
"ENT-Floral Designers","5872","670","5202"
"ENT-Graphic Designers","31861","15155","16706"
"ENT-Interior Designers","10534","2304","8230"
"ENT-Merchandise Displayer And Windows Trimmers","1955","906","1049"
"ENT-Other Designers","38155","19712","18443"
"ENT-Actors","14312","7567","6745"
"ENT-Producers And Directors","28854","15253","13601"
"ENT-Athletes And Sports Competitors","2674","2438","236"
"ENT-Coaches And Scouts","19962","11446","8516"
"ENT-Umpires, Referees, And Other Sports Officials","3528","2963","565"
"ENT-Dancers And Choreographers","2904","871","2033"
"ENT-Music Directors And Composers","5452","3838","1614"
"ENT-Musicians And Singers","17931","12082","5849"
"ENT-Disc Jockeys, Except Radio","686","653","33"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","4878","2774","2104"
"ENT-Broadcast Announcers And Radio Disc Jockeys","3451","2611","840"
"ENT-News Analysts, Reporters, And Journalists","11738","5819","5919"
"ENT-Public Relations Specialists","17438","5364","12074"
"ENT-Editors","31729","13317","18412"
"ENT-Technical Writers","2915","1108","1807"
"ENT-Writers And Authors","33025","13998","19027"
"ENT-Interpreters And Translators","9214","3028","6186"
"ENT-Court Reporters And Simultaneous Captioners","2481","421","2060"
"ENT-Media And Communication Workers, All Other","1798","981","817"
"ENT-Photographers","17699","10933","6766"
"ENT-Television, Video, And Film Camera Operators And Editors","8608","7053","1555"
"ENT-Other Media And Communication Equipment Workers","9528","8530","998"
"MED-Chiropractors","3743","2661","1082"
"MED-Dentists","11965","7814","4151"
"MED-Dietitians And Nutritionists","8247","1005","7242"
"MED-Optometrists","2621","1557","1064"
"MED-Pharmacists","20505","9649","10856"
"MED-Physician Assistants","11820","3541","8279"
"MED-Podiatrists","1030","878","152"
"MED-Occupational Therapists","10969","1120","9849"
"MED-Physical Therapists","18993","6467","12526"
"MED-Radiation Therapists","986","358","628"
"MED-Recreational Therapists","2073","565","1508"
"MED-Respiratory Therapists","5985","2749","3236"
"MED-Speech-Language Pathologists","16482","486","15996"
"MED-Other Therapists","11959","2361","9598"
"MED-Veterinarians","4064","1524","2540"
"MED-Registered Nurses","221981","24767","197214"
"MED-Nurse Anesthetists","1363","539","824"
"MED-Audiologists","1219","129","1090"
"MED-Nurse Practitioners, And Nurse Midwives","12935","1031","11904"
"MED-Physicians","79587","46140","33447"
"MED-Surgeons","4218","3373","845"
"MED-Acupuncturists","1868","657","1211"
"MED-Dental Hygienists","10852","800","10052"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","1128","406","722"
"MED-Clinical Laboratory Technologists And Technicians","21960","7422","14538"
"MED-Cardiovascular Technologists And Technicians","2496","978","1518"
"MED-Diagnostic Medical Sonographers","5813","1057","4756"
"MED-Radiologic Technologists And Technicians","12697","4420","8277"
"MED-Magnetic Resonance Imaging Technologists","2390","998","1392"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","1691","820","871"
"MED-Emergency Medical Technicians","9186","5449","3737"
"MED-Paramedics","7226","5082","2144"
"MED-Pharmacy Technicians","17902","4402","13500"
"MED-Psychiatric Technicians","2065","788","1277"
"MED-Surgical Technologists","5339","1524","3815"
"MED-Veterinary Technologists And Technicians","6349","756","5593"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","2013","695","1318"
"MED-Licensed Practical And Licensed Vocational Nurses","68284","9098","59186"
"MED-Medical Records Specialists","9528","1327","8201"
"MED-Opticians, Dispensing","4477","2106","2371"
"MED-Miscellaneous Health Technologists And Technicians","9231","4291","4940"
"MED-Other Healthcare Practitioners And Technical Occupations","5614","1560","4054"
"HLS-Home Health Aides","118750","8824","109926"
"HLS-Personal Care Aides","108828","18743","90085"
"HLS-Nursing Assistants","167714","16561","151153"
"HLS-Orderlies And Psychiatric Aides","7910","3861","4049"
"HLS-Occupational Therapy Assistants And Aides","2995","299","2696"
"HLS-Physical Therapist Assistants And Aides","7032","2431","4601"
"HLS-Massage Therapists","9101","2204","6897"
"HLS-Dental Assistants","18736","1801","16935"
"HLS-Medical Assistants","34540","4093","30447"
"HLS-Medical Transcriptionists","3053","609","2444"
"HLS-Pharmacy Aides","3531","1181","2350"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","3937","681","3256"
"HLS-Phlebotomists","7214","1387","5827"
"HLS-Other Healthcare Support Workers","12136","4817","7319"
"PRT-First-Line Supervisors Of Correctional Officers","4019","3248","771"
"PRT-First-Line Supervisors Of Police And Detectives","10411","8551","1860"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","2928","2694","234"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","6293","4783","1510"
"PRT-Firefighters","19847","19012","835"
"PRT-Fire Inspectors","1982","1841","141"
"PRT-Bailiffs","3433","2619","814"
"PRT-Correctional Officers And Jailers","37819","29587","8232"
"PRT-Detectives And Criminal Investigators","12615","9742","2873"
"PRT-Police Officers","73419","60828","12591"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","1058","530","528"
"PRT-Animal Control Workers","751","331","420"
"PRT-Private Detectives And Investigators","7715","4610","3105"
"PRT-Security Guards And Gambling Surveillance Officers","103394","81086","22308"
"PRT-Crossing Guards And Flaggers","7775","2034","5741"
"PRT-Transportation Security Screeners","3708","1997","1711"
"PRT-School Bus Monitors","4122","592","3530"
"PRT-Other Protective Service Workers","24081","12342","11739"
