Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: West Virginia"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Painting Workers","733","655","78"
"PRD-Photographic Process Workers And Processing Machine Operators","82","45","37"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","418","404","14"
"PRD-Adhesive Bonding Machine Operators And Tenders","0","0","0"
"PRD-Etchers And Engravers","62","62","0"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","97","37","60"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","197","84","113"
"PRD-Tire Builders","0","0","0"
"PRD-Helpers--Production Workers","526","415","111"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","8278","6572","1706"
"TRN-Supervisors Of Transportation And Material Moving Workers","1178","950","228"
"TRN-Aircraft Pilots And Flight Engineers","282","258","24"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","322","207","115"
"TRN-Flight Attendants","89","0","89"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","195","92","103"
"TRN-Driver/Sales Workers And Truck Drivers","29839","28483","1356"
"TRN-Bus Drivers, School","2719","1584","1135"
"TRN-Bus Drivers, Transit And Intercity","1769","1246","523"
"TRN-Shuttle Drivers and Chauffeurs","880","529","351"
"TRN-Taxi Drivers","1119","862","257"
"TRN-Motor Vehicle Operators, All Other","468","335","133"
"TRN-Locomotive Engineers And Operators","738","738","0"
"TRN-Railroad Conductors And Yardmasters","685","606","79"
"TRN-Other Rail Transportation Workers","172","163","9"
"TRN-Ship And Boat Captains And Operators","244","199","45"
"TRN-Sailors And Marine Oilers, And Ship Engineers","454","423","31"
"TRN-Parking Attendants","232","181","51"
"TRN-Transportation Service Attendants","963","660","303"
"TRN-Transportation Inspectors","232","232","0"
"TRN-Passenger Attendants","141","31","110"
"TRN-Other Transportation Workers","161","122","39"
"TRN-Crane And Tower Operators","699","699","0"
"TRN-Industrial Truck And Tractor Operators","2853","2492","361"
"TRN-Cleaners Of Vehicles And Equipment","1688","1473","215"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","18904","15764","3140"
"TRN-Machine Feeders And Offbearers","521","325","196"
"TRN-Packers And Packagers, Hand","1856","866","990"
"TRN-Stockers And Order Fillers","11805","7691","4114"
"TRN-Pumping Station Operators","277","277","0"
"TRN-Refuse And Recyclable Material Collectors","912","877","35"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","515","481","34"
"TRN-Other Material Moving Workers","1138","1025","113"
"MIL-Military Officer Special And Tactical Operations Leaders","172","73","99"
"MIL-First-Line Enlisted Military Supervisors","125","125","0"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","103","103","0"
"MIL-Military, Rank Not Specified","792","702","90"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","9923","5136","4787"
