Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: California"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Other Textile, Apparel, And Furnishings Workers","3369","1741","1628"
"PRD-Cabinetmakers And Bench Carpenters","6337","6063","274"
"PRD-Furniture Finishers","1116","941","175"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","2097","1687","410"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","1574","1309","265"
"PRD-Other Woodworkers","3317","2902","415"
"PRD-Power Plant Operators, Distributors, And Dispatchers","3609","3411","198"
"PRD-Stationary Engineers And Boiler Operators","12188","11732","456"
"PRD-Water And Wastewater Treatment Plant And System Operators","10411","9909","502"
"PRD-Miscellaneous Plant And System Operators","4241","3916","325"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","9870","8233","1637"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","8873","7405","1468"
"PRD-Cutting Workers","9171","6240","2931"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","1335","957","378"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","823","610","213"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","114793","67117","47676"
"PRD-Jewelers And Precious Stone And Metal Workers","6986","4200","2786"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","12247","6920","5327"
"PRD-Packaging And Filling Machine Operators And Tenders","43762","17301","26461"
"PRD-Painting Workers","19656","17748","1908"
"PRD-Photographic Process Workers And Processing Machine Operators","5351","3150","2201"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","13425","11538","1887"
"PRD-Adhesive Bonding Machine Operators And Tenders","648","484","164"
"PRD-Etchers And Engravers","1138","821","317"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","4757","4080","677"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","2445","1633","812"
"PRD-Tire Builders","177","177","0"
"PRD-Helpers--Production Workers","11640","7708","3932"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","131105","89507","41598"
"TRN-Supervisors Of Transportation And Material Moving Workers","32265","25165","7100"
"TRN-Aircraft Pilots And Flight Engineers","17349","15740","1609"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","5176","4152","1024"
"TRN-Flight Attendants","14871","2857","12014"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","1539","1155","384"
"TRN-Driver/Sales Workers And Truck Drivers","472521","439951","32570"
"TRN-Bus Drivers, School","27728","14486","13242"
"TRN-Bus Drivers, Transit And Intercity","31596","22422","9174"
"TRN-Shuttle Drivers and Chauffeurs","29982","23555","6427"
"TRN-Taxi Drivers","74628","62423","12205"
"TRN-Motor Vehicle Operators, All Other","13714","11264","2450"
"TRN-Locomotive Engineers And Operators","3031","2945","86"
"TRN-Railroad Conductors And Yardmasters","3477","3234","243"
"TRN-Other Rail Transportation Workers","2075","1851","224"
"TRN-Ship And Boat Captains And Operators","4693","4181","512"
"TRN-Sailors And Marine Oilers, And Ship Engineers","3597","3277","320"
"TRN-Parking Attendants","18552","15906","2646"
"TRN-Transportation Service Attendants","10396","9341","1055"
"TRN-Transportation Inspectors","4838","4408","430"
"TRN-Passenger Attendants","2931","1647","1284"
"TRN-Other Transportation Workers","2502","2123","379"
"TRN-Crane And Tower Operators","4942","4804","138"
"TRN-Industrial Truck And Tractor Operators","87691","83475","4216"
"TRN-Cleaners Of Vehicles And Equipment","63650","54723","8927"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","344700","271436","73264"
"TRN-Machine Feeders And Offbearers","3613","1764","1849"
"TRN-Packers And Packagers, Hand","130182","51475","78707"
"TRN-Stockers And Order Fillers","247947","152630","95317"
"TRN-Pumping Station Operators","1826","1724","102"
"TRN-Refuse And Recyclable Material Collectors","16284","13831","2453"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","896","708","188"
"TRN-Other Material Moving Workers","8562","7088","1474"
"MIL-Military Officer Special And Tactical Operations Leaders","6572","5548","1024"
"MIL-First-Line Enlisted Military Supervisors","8912","7778","1134"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","24942","22375","2567"
"MIL-Military, Rank Not Specified","31920","26817","5103"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","280318","131922","148396"
