Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: California"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"SCI-Other Social Scientists","6927","3427","3500"
"SCI-Agricultural And Food Science Technicians","5934","3522","2412"
"SCI-Biological Technicians","5729","2093","3636"
"SCI-Chemical Technicians","7288","4740","2548"
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians","3917","2287","1630"
"SCI-Other Life, Physical, And Social Science Technicians","30441","15250","15191"
"SCI-Occupational Health And Safety Specialists And Technicians","7484","4565","2919"
"CMS-Substance Abuse And Behavioral Disorder Counselors","14802","4509","10293"
"CMS-Educational, Guidance, And Career Counselors And Advisors","47470","13318","34152"
"CMS-Marriage And Family Therapists","6486","1534","4952"
"CMS-Mental Health Counselors","13136","3684","9452"
"CMS-Rehabilitation Counselors","4578","1340","3238"
"CMS-Counselors, All Other","33230","11260","21970"
"CMS-Child, Family, And School Social Workers","11747","2092","9655"
"CMS-Healthcare Social Workers","12459","2585","9874"
"CMS-Mental Health And Substance Abuse Social Workers","4595","1211","3384"
"CMS-Social Workers, All Other","81514","16377","65137"
"CMS-Probation Officers And Correctional Treatment Specialists","12911","6835","6076"
"CMS-Social And Human Service Assistants","30982","7892","23090"
"CMS-Other Community And Social Service Specialists","15322","5363","9959"
"CMS-Clergy","43032","33465","9567"
"CMS-Directors, Religious Activities And Education","9314","3278","6036"
"CMS-Religious Workers, All Other","12294","4759","7535"
"LGL-Judicial Law Clerks","3634","1436","2198"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","169765","101163","68602"
"LGL-Paralegals And Legal Assistants","60391","13968","46423"
"LGL-Title Examiners, Abstractors, And Searchers","11967","3369","8598"
"LGL-Legal Support Workers, All Other","7977","2877","5100"
"EDU-Postsecondary Teachers","193680","96216","97464"
"EDU-Preschool And Kindergarten Teachers","77662","2563","75099"
"EDU-Elementary And Middle School Teachers","422055","100530","321525"
"EDU-Secondary School Teachers","112894","51883","61011"
"EDU-Special Education Teachers","38712","6955","31757"
"EDU-Tutors","52881","19674","33207"
"EDU-Other Teachers And Instructors","124464","50154","74310"
"EDU-Archivists, Curators, And Museum Technicians","8701","3526","5175"
"EDU-Librarians And Media Collections Specialists","19736","4545","15191"
"EDU-Library Technicians","7797","2061","5736"
"EDU-Teaching Assistants","180838","33613","147225"
"EDU-Other Educational Instruction and Library Workers","17400","5036","12364"
"ENT-Artists And Related Workers","54859","30700","24159"
"ENT-Commercial And Industrial Designers","4542","2898","1644"
"ENT-Fashion Designers","8060","1539","6521"
"ENT-Floral Designers","13437","1929","11508"
"ENT-Graphic Designers","60504","31000","29504"
"ENT-Interior Designers","18991","3348","15643"
"ENT-Merchandise Displayers And Window Trimmers","3034","1479","1555"
"ENT-Other Designers","75596","43758","31838"
"ENT-Actors","30170","16376","13794"
"ENT-Producers And Directors","54998","35244","19754"
"ENT-Athletes And Sports Competitors","6175","5066","1109"
"ENT-Coaches And Scouts","44150","24099","20051"
"ENT-Umpires, Referees, And Other Sports Officials","8889","7222","1667"
"ENT-Dancers And Choreographers","4463","1306","3157"
"ENT-Music Directors And Composers","9642","7124","2518"
"ENT-Musicians And Singers","31536","23135","8401"
"ENT-Disc Jockeys, Except Radio","1407","1139","268"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","13180","8001","5179"
"ENT-Broadcast Announcers And Radio Disc Jockeys","5449","3828","1621"
"ENT-News Analysts, Reporters, And Journalists","11064","5427","5637"
"ENT-Public Relations Specialists","21097","6338","14759"
"ENT-Editors","32576","16967","15609"
"ENT-Technical Writers","10315","4868","5447"
"ENT-Writers And Authors","54592","25836","28756"
"ENT-Interpreters And Translators","21260","7209","14051"
"ENT-Court Reporters And Simultaneous Captioners","5574","747","4827"
"ENT-Media And Communication Workers, All Other","3829","2356","1473"
"ENT-Photographers","37056","20963","16093"
"ENT-Television, Video, And Film Camera Operators And Editors","24146","19348","4798"
