Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alaska"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","1580","1143","437"
"TRN-Supervisors Of Transportation And Material Moving Workers","872","698","174"
"TRN-Aircraft Pilots And Flight Engineers","3126","2822","304"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","722","413","309"
"TRN-Flight Attendants","428","95","333"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","14","14","0"
"TRN-Driver/Sales Workers And Truck Drivers","8061","7331","730"
"TRN-Bus Drivers, School","1006","720","286"
"TRN-Bus Drivers, Transit And Intercity","851","655","196"
"TRN-Shuttle Drivers and Chauffeurs","498","341","157"
"TRN-Taxi Drivers","884","715","169"
"TRN-Motor Vehicle Operators, All Other","277","224","53"
"TRN-Locomotive Engineers And Operators","47","47","0"
"TRN-Railroad Conductors And Yardmasters","49","27","22"
"TRN-Other Rail Transportation Workers","64","39","25"
"TRN-Ship And Boat Captains And Operators","1454","1326","128"
"TRN-Sailors And Marine Oilers, And Ship Engineers","528","451","77"
"TRN-Parking Attendants","119","119","0"
"TRN-Transportation Service Attendants","950","869","81"
"TRN-Transportation Inspectors","410","410","0"
"TRN-Passenger Attendants","116","18","98"
"TRN-Other Transportation Workers","450","427","23"
"TRN-Crane And Tower Operators","48","48","0"
"TRN-Industrial Truck And Tractor Operators","467","455","12"
"TRN-Cleaners Of Vehicles And Equipment","1246","984","262"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","8905","7234","1671"
"TRN-Machine Feeders And Offbearers","46","0","46"
"TRN-Packers And Packagers, Hand","1187","701","486"
"TRN-Stockers And Order Fillers","6287","3990","2297"
"TRN-Pumping Station Operators","123","123","0"
"TRN-Refuse And Recyclable Material Collectors","506","326","180"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","12","12","0"
"TRN-Other Material Moving Workers","118","118","0"
"MIL-Military Officer Special And Tactical Operations Leaders","655","596","59"
"MIL-First-Line Enlisted Military Supervisors","1520","1407","113"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","3011","2939","72"
"MIL-Military, Rank Not Specified","2908","2601","307"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","3827","2558","1269"
