Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alaska"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"CMS-Marriage And Family Therapists","181","151","30"
"CMS-Mental Health Counselors","427","321","106"
"CMS-Rehabilitation Counselors","95","0","95"
"CMS-Counselors, All Other","905","329","576"
"CMS-Child, Family, And School Social Workers","390","70","320"
"CMS-Healthcare Social Workers","459","321","138"
"CMS-Mental Health And Substance Abuse Social Workers","80","43","37"
"CMS-Social Workers, All Other","2102","733","1369"
"CMS-Probation Officers And Correctional Treatment Specialists","533","244","289"
"CMS-Social And Human Service Assistants","982","250","732"
"CMS-Other Community And Social Service Specialists","652","60","592"
"CMS-Clergy","1192","1067","125"
"CMS-Directors, Religious Activities And Education","159","12","147"
"CMS-Religious Workers, All Other","250","75","175"
"LGL-Judicial Law Clerks","56","27","29"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","2478","1257","1221"
"LGL-Paralegals And Legal Assistants","752","139","613"
"LGL-Title Examiners, Abstractors, And Searchers","83","68","15"
"LGL-Legal Support Workers, All Other","154","22","132"
"EDU-Postsecondary Teachers","2553","1438","1115"
"EDU-Preschool And Kindergarten Teachers","1752","126","1626"
"EDU-Elementary And Middle School Teachers","10389","2911","7478"
"EDU-Secondary School Teachers","2428","1022","1406"
"EDU-Special Education Teachers","1148","221","927"
"EDU-Tutors","494","65","429"
"EDU-Other Teachers And Instructors","2054","764","1290"
"EDU-Archivists, Curators, And Museum Technicians","189","155","34"
"EDU-Librarians And Media Collections Specialists","437","45","392"
"EDU-Library Technicians","445","39","406"
"EDU-Teaching Assistants","5372","829","4543"
"EDU-Other Educational Instruction and Library Workers","512","145","367"
"ENT-Artists And Related Workers","841","404","437"
"ENT-Commercial And Industrial Designers","19","19","0"
"ENT-Fashion Designers","0","0","0"
"ENT-Floral Designers","157","67","90"
"ENT-Graphic Designers","316","166","150"
"ENT-Interior Designers","100","10","90"
"ENT-Merchandise Displayers And Window Trimmers","0","0","0"
"ENT-Other Designers","529","281","248"
"ENT-Actors","74","70","4"
"ENT-Producers And Directors","273","160","113"
"ENT-Athletes And Sports Competitors","41","41","0"
"ENT-Coaches And Scouts","1200","668","532"
"ENT-Umpires, Referees, And Other Sports Officials","251","163","88"
"ENT-Dancers And Choreographers","39","0","39"
"ENT-Music Directors And Composers","72","43","29"
"ENT-Musicians And Singers","243","133","110"
"ENT-Disc Jockeys, Except Radio","5","0","5"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","39","0","39"
"ENT-Broadcast Announcers And Radio Disc Jockeys","299","254","45"
"ENT-News Analysts, Reporters, And Journalists","347","104","243"
"ENT-Public Relations Specialists","526","186","340"
"ENT-Editors","611","170","441"
"ENT-Technical Writers","96","26","70"
"ENT-Writers And Authors","533","283","250"
"ENT-Interpreters And Translators","532","154","378"
"ENT-Court Reporters And Simultaneous Captioners","31","0","31"
"ENT-Media And Communication Workers, All Other","145","0","145"
"ENT-Photographers","935","797","138"
"ENT-Television, Video, And Film Camera Operators And Editors","12","12","0"
"ENT-Other Media And Communication Equipment Workers","347","347","0"
"MED-Chiropractors","431","323","108"
"MED-Dentists","450","272","178"
"MED-Dietitians And Nutritionists","260","0","260"
"MED-Optometrists","52","52","0"
"MED-Pharmacists","555","273","282"
"MED-Physician Assistants","389","220","169"
"MED-Podiatrists","0","0","0"
"MED-Occupational Therapists","148","0","148"
"MED-Physical Therapists","972","397","575"
"MED-Radiation Therapists","44","0","44"
"MED-Recreational Therapists","62","0","62"
"MED-Respiratory Therapists","428","86","342"
"MED-Speech-Language Pathologists","338","8","330"
"MED-Other Therapists","206","7","199"
"MED-Veterinarians","446","247","199"
