Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arkansas"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","1477","1386","91"
"PRD-Cutting Workers","1053","713","340"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","746","668","78"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","250","210","40"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","10407","5407","5000"
"PRD-Jewelers And Precious Stone And Metal Workers","223","146","77"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","1006","514","492"
"PRD-Packaging And Filling Machine Operators And Tenders","13803","6157","7646"
"PRD-Painting Workers","2117","1894","223"
"PRD-Photographic Process Workers And Processing Machine Operators","448","236","212"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","1439","1066","373"
"PRD-Adhesive Bonding Machine Operators And Tenders","297","257","40"
"PRD-Etchers And Engravers","0","0","0"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","371","307","64"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","918","776","142"
"PRD-Tire Builders","322","301","21"
"PRD-Helpers--Production Workers","890","741","149"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","20522","14420","6102"
"TRN-Supervisors Of Transportation And Material Moving Workers","2982","2432","550"
"TRN-Aircraft Pilots And Flight Engineers","2014","1882","132"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","191","178","13"
"TRN-Flight Attendants","235","0","235"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","15","11","4"
"TRN-Driver/Sales Workers And Truck Drivers","51769","47280","4489"
"TRN-Bus Drivers, School","2755","1585","1170"
"TRN-Bus Drivers, Transit And Intercity","2317","1748","569"
"TRN-Shuttle Drivers and Chauffeurs","944","612","332"
"TRN-Taxi Drivers","1164","838","326"
"TRN-Motor Vehicle Operators, All Other","1447","1091","356"
"TRN-Locomotive Engineers And Operators","407","395","12"
"TRN-Railroad Conductors And Yardmasters","656","656","0"
"TRN-Other Rail Transportation Workers","305","305","0"
"TRN-Ship And Boat Captains And Operators","505","505","0"
"TRN-Sailors And Marine Oilers, And Ship Engineers","377","377","0"
"TRN-Parking Attendants","560","382","178"
"TRN-Transportation Service Attendants","1204","1008","196"
"TRN-Transportation Inspectors","541","488","53"
"TRN-Passenger Attendants","249","84","165"
"TRN-Other Transportation Workers","349","299","50"
"TRN-Crane And Tower Operators","863","842","21"
"TRN-Industrial Truck And Tractor Operators","9591","8749","842"
"TRN-Cleaners Of Vehicles And Equipment","4786","3983","803"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","32454","26092","6362"
"TRN-Machine Feeders And Offbearers","953","653","300"
"TRN-Packers And Packagers, Hand","5707","2479","3228"
"TRN-Stockers And Order Fillers","23986","15100","8886"
"TRN-Pumping Station Operators","322","322","0"
"TRN-Refuse And Recyclable Material Collectors","1292","1218","74"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","246","226","20"
"TRN-Other Material Moving Workers","1241","1000","241"
"MIL-Military Officer Special And Tactical Operations Leaders","85","85","0"
"MIL-First-Line Enlisted Military Supervisors","432","350","82"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","448","422","26"
"MIL-Military, Rank Not Specified","1460","1078","382"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","13364","6797","6567"
