Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arkansas"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"SCI-Occupational Health And Safety Specialists And Technicians","690","510","180"
"CMS-Substance Abuse And Behavioral Disorder Counselors","761","96","665"
"CMS-Educational, Guidance, And Career Counselors And Advisors","3292","674","2618"
"CMS-Marriage And Family Therapists","196","131","65"
"CMS-Mental Health Counselors","1293","202","1091"
"CMS-Rehabilitation Counselors","164","39","125"
"CMS-Counselors, All Other","1974","678","1296"
"CMS-Child, Family, And School Social Workers","643","24","619"
"CMS-Healthcare Social Workers","967","169","798"
"CMS-Mental Health And Substance Abuse Social Workers","299","137","162"
"CMS-Social Workers, All Other","4283","519","3764"
"CMS-Probation Officers And Correctional Treatment Specialists","1203","536","667"
"CMS-Social And Human Service Assistants","2070","485","1585"
"CMS-Other Community And Social Service Specialists","907","407","500"
"CMS-Clergy","8082","6521","1561"
"CMS-Directors, Religious Activities And Education","720","260","460"
"CMS-Religious Workers, All Other","891","359","532"
"LGL-Judicial Law Clerks","178","116","62"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","6577","4542","2035"
"LGL-Paralegals And Legal Assistants","2227","225","2002"
"LGL-Title Examiners, Abstractors, And Searchers","1099","173","926"
"LGL-Legal Support Workers, All Other","344","132","212"
"EDU-Postsecondary Teachers","14495","7035","7460"
"EDU-Preschool And Kindergarten Teachers","10288","159","10129"
"EDU-Elementary And Middle School Teachers","39462","6552","32910"
"EDU-Secondary School Teachers","9670","3728","5942"
"EDU-Special Education Teachers","3826","600","3226"
"EDU-Tutors","1833","747","1086"
"EDU-Other Teachers And Instructors","7499","2592","4907"
"EDU-Archivists, Curators, And Museum Technicians","374","154","220"
"EDU-Librarians And Media Collections Specialists","2164","320","1844"
"EDU-Library Technicians","505","155","350"
