Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alabama"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","697","605","92"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","408","323","85"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","21358","12848","8510"
"PRD-Jewelers And Precious Stone And Metal Workers","352","271","81"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","1835","1010","825"
"PRD-Packaging And Filling Machine Operators And Tenders","5783","3111","2672"
"PRD-Painting Workers","4005","3258","747"
"PRD-Photographic Process Workers And Processing Machine Operators","315","78","237"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","2801","2173","628"
"PRD-Adhesive Bonding Machine Operators And Tenders","329","113","216"
"PRD-Etchers And Engravers","53","44","9"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","488","413","75"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","808","730","78"
"PRD-Tire Builders","1047","931","116"
"PRD-Helpers--Production Workers","951","738","213"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","29628","22112","7516"
"TRN-Supervisors Of Transportation And Material Moving Workers","4211","3221","990"
"TRN-Aircraft Pilots And Flight Engineers","4610","4469","141"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","1386","927","459"
"TRN-Flight Attendants","409","67","342"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","229","175","54"
"TRN-Driver/Sales Workers And Truck Drivers","74652","68274","6378"
"TRN-Bus Drivers, School","6441","2550","3891"
"TRN-Bus Drivers, Transit And Intercity","4045","1726","2319"
"TRN-Shuttle Drivers and Chauffeurs","1357","843","514"
"TRN-Taxi Drivers","1646","1242","404"
"TRN-Motor Vehicle Operators, All Other","1955","1451","504"
"TRN-Locomotive Engineers And Operators","1421","1399","22"
"TRN-Railroad Conductors And Yardmasters","898","898","0"
"TRN-Other Rail Transportation Workers","497","497","0"
"TRN-Ship And Boat Captains And Operators","1128","1098","30"
"TRN-Sailors And Marine Oilers, And Ship Engineers","1133","1133","0"
"TRN-Parking Attendants","613","455","158"
"TRN-Transportation Service Attendants","1779","1583","196"
"TRN-Transportation Inspectors","1117","887","230"
"TRN-Passenger Attendants","268","182","86"
"TRN-Other Transportation Workers","224","175","49"
"TRN-Crane And Tower Operators","2472","2283","189"
"TRN-Industrial Truck And Tractor Operators","14967","13827","1140"
"TRN-Cleaners Of Vehicles And Equipment","7664","6213","1451"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","50388","39928","10460"
"TRN-Machine Feeders And Offbearers","909","446","463"
"TRN-Packers And Packagers, Hand","5873","2671","3202"
"TRN-Stockers And Order Fillers","40265","25270","14995"
"TRN-Pumping Station Operators","205","205","0"
"TRN-Refuse And Recyclable Material Collectors","1767","1586","181"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","434","429","5"
"TRN-Other Material Moving Workers","1683","1459","224"
"MIL-Military Officer Special And Tactical Operations Leaders","705","655","50"
"MIL-First-Line Enlisted Military Supervisors","1414","1253","161"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","1712","1557","155"
"MIL-Military, Rank Not Specified","3967","3174","793"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","28823","14851","13972"
