Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Delaware"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","13598","8946","4652"
"PRD-Jewelers And Precious Stone And Metal Workers","946","445","501"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","2314","885","1429"
"PRD-Packaging And Filling Machine Operators And Tenders","3479","1798","1681"
"PRD-Painting Workers","2024","1845","179"
"PRD-Photographic Process Workers And Processing Machine Operators","568","369","199"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","1417","1173","244"
"PRD-Adhesive Bonding Machine Operators And Tenders","148","148","0"
"PRD-Etchers And Engravers","182","101","81"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","804","681","123"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","179","159","20"
"PRD-Tire Builders","78","78","0"
"PRD-Helpers--Production Workers","654","434","220"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","16914","12348","4566"
"TRN-Supervisors Of Transportation And Material Moving Workers","4010","3196","814"
"TRN-Aircraft Pilots And Flight Engineers","7437","6695","742"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","979","803","176"
"TRN-Flight Attendants","4662","770","3892"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","135","102","33"
"TRN-Driver/Sales Workers And Truck Drivers","70675","64331","6344"
"TRN-Bus Drivers, School","4948","3104","1844"
"TRN-Bus Drivers, Transit And Intercity","4950","3968","982"
"TRN-Shuttle Drivers and Chauffeurs","3429","2666","763"
"TRN-Taxi Drivers","7047","5773","1274"
"TRN-Motor Vehicle Operators, All Other","1516","1241","275"
"TRN-Locomotive Engineers And Operators","1119","1071","48"
"TRN-Railroad Conductors And Yardmasters","1069","1038","31"
"TRN-Other Rail Transportation Workers","524","489","35"
"TRN-Ship And Boat Captains And Operators","247","100","147"
"TRN-Sailors And Marine Oilers, And Ship Engineers","79","41","38"
"TRN-Parking Attendants","1299","1210","89"
"TRN-Transportation Service Attendants","2034","1629","405"
"TRN-Transportation Inspectors","850","776","74"
"TRN-Passenger Attendants","467","408","59"
"TRN-Other Transportation Workers","617","496","121"
"TRN-Crane And Tower Operators","1212","1194","18"
"TRN-Industrial Truck And Tractor Operators","6245","5879","366"
"TRN-Cleaners Of Vehicles And Equipment","8530","6789","1741"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","44677","34988","9689"
"TRN-Machine Feeders And Offbearers","358","181","177"
"TRN-Packers And Packagers, Hand","6685","2584","4101"
"TRN-Stockers And Order Fillers","35364","22538","12826"
"TRN-Pumping Station Operators","1029","1028","1"
"TRN-Refuse And Recyclable Material Collectors","1957","1673","284"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","302","302","0"
"TRN-Other Material Moving Workers","1056","948","108"
"MIL-Military Officer Special And Tactical Operations Leaders","2099","1873","226"
"MIL-First-Line Enlisted Military Supervisors","2970","2568","402"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","9525","8049","1476"
"MIL-Military, Rank Not Specified","7701","6566","1135"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","18356","8802","9554"
