Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Delaware"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"SCI-Chemical Technicians","827","553","274"
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians","860","556","304"
"SCI-Other Life, Physical, And Social Science Technicians","6238","3115","3123"
"SCI-Occupational Health And Safety Specialists And Technicians","1643","869","774"
"CMS-Substance Abuse And Behavioral Disorder Counselors","2183","576","1607"
"CMS-Educational, Guidance, And Career Counselors And Advisors","7796","1774","6022"
"CMS-Marriage And Family Therapists","1051","269","782"
"CMS-Mental Health Counselors","2580","547","2033"
"CMS-Rehabilitation Counselors","525","168","357"
"CMS-Counselors, All Other","4955","1448","3507"
"CMS-Child, Family, And School Social Workers","2055","233","1822"
"CMS-Healthcare Social Workers","1864","587","1277"
"CMS-Mental Health And Substance Abuse Social Workers","1062","257","805"
"CMS-Social Workers, All Other","11385","2263","9122"
"CMS-Probation Officers And Correctional Treatment Specialists","2061","619","1442"
"CMS-Social And Human Service Assistants","4395","1207","3188"
"CMS-Other Community And Social Service Specialists","2282","608","1674"
"CMS-Clergy","8531","6283","2248"
"CMS-Directors, Religious Activities And Education","2262","1018","1244"
"CMS-Religious Workers, All Other","2386","719","1667"
"LGL-Judicial Law Clerks","619","209","410"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","25036","15536","9500"
"LGL-Paralegals And Legal Assistants","8515","1281","7234"
"LGL-Title Examiners, Abstractors, And Searchers","2104","531","1573"
"LGL-Legal Support Workers, All Other","1245","424","821"
"EDU-Postsecondary Teachers","32790","15277","17513"
"EDU-Preschool And Kindergarten Teachers","13716","291","13425"
"EDU-Elementary And Middle School Teachers","76255","16227","60028"
"EDU-Secondary School Teachers","17417","6907","10510"
"EDU-Special Education Teachers","5689","515","5174"
"EDU-Tutors","5619","2025","3594"
"EDU-Other Teachers And Instructors","19742","8432","11310"
"EDU-Archivists, Curators, And Museum Technicians","1373","546","827"
"EDU-Librarians And Media Collections Specialists","4470","419","4051"
"EDU-Library Technicians","1241","95","1146"
"EDU-Teaching Assistants","24547","3892","20655"
"EDU-Other Educational Instruction and Library Workers","3262","1001","2261"
"ENT-Artists And Related Workers","5976","2730","3246"
"ENT-Commercial And Industrial Designers","397","266","131"
"ENT-Fashion Designers","726","104","622"
"ENT-Floral Designers","1445","102","1343"
"ENT-Graphic Designers","7238","3622","3616"
"ENT-Interior Designers","2551","150","2401"
"ENT-Merchandise Displayers And Window Trimmers","243","104","139"
"ENT-Other Designers","9666","5038","4628"
"ENT-Actors","836","469","367"
"ENT-Producers And Directors","3183","2217","966"
"ENT-Athletes And Sports Competitors","1427","1054","373"
"ENT-Coaches And Scouts","10090","5373","4717"
"ENT-Umpires, Referees, And Other Sports Officials","1943","1526","417"
"ENT-Dancers And Choreographers","722","42","680"
"ENT-Music Directors And Composers","877","596","281"
"ENT-Musicians And Singers","3655","1941","1714"
"ENT-Disc Jockeys, Except Radio","72","72","0"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","1297","658","639"
"ENT-Broadcast Announcers And Radio Disc Jockeys","1254","1079","175"
"ENT-News Analysts, Reporters, And Journalists","1076","523","553"
"ENT-Public Relations Specialists","2926","1016","1910"
"ENT-Editors","4553","1919","2634"
"ENT-Technical Writers","1827","816","1011"
"ENT-Writers And Authors","7459","1985","5474"
"ENT-Interpreters And Translators","3242","797","2445"
