Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arizona"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Power Plant Operators, Distributors, And Dispatchers","1560","1503","57"
"PRD-Stationary Engineers And Boiler Operators","1529","1504","25"
"PRD-Water And Wastewater Treatment Plant And System Operators","2291","2035","256"
"PRD-Miscellaneous Plant And System Operators","620","599","21"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","544","532","12"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","1716","1444","272"
"PRD-Cutting Workers","1664","1383","281"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","168","139","29"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","179","115","64"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","18679","12687","5992"
"PRD-Jewelers And Precious Stone And Metal Workers","1007","672","335"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","2509","1131","1378"
"PRD-Packaging And Filling Machine Operators And Tenders","2910","1317","1593"
"PRD-Painting Workers","3072","2792","280"
"PRD-Photographic Process Workers And Processing Machine Operators","966","696","270"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","2314","2160","154"
"PRD-Adhesive Bonding Machine Operators And Tenders","55","55","0"
"PRD-Etchers And Engravers","405","326","79"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","1190","1060","130"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","434","136","298"
"PRD-Tire Builders","41","41","0"
"PRD-Helpers--Production Workers","996","657","339"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","18326","13338","4988"
"TRN-Supervisors Of Transportation And Material Moving Workers","5228","4157","1071"
"TRN-Aircraft Pilots And Flight Engineers","7210","6674","536"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","1239","1110","129"
"TRN-Flight Attendants","5725","1015","4710"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","673","170","503"
"TRN-Driver/Sales Workers And Truck Drivers","75934","69457","6477"
"TRN-Bus Drivers, School","7155","3843","3312"
"TRN-Bus Drivers, Transit And Intercity","6265","4424","1841"
"TRN-Shuttle Drivers and Chauffeurs","5585","4035","1550"
"TRN-Taxi Drivers","10406","8260","2146"
"TRN-Motor Vehicle Operators, All Other","3343","2827","516"
"TRN-Locomotive Engineers And Operators","1210","1194","16"
"TRN-Railroad Conductors And Yardmasters","912","878","34"
"TRN-Other Rail Transportation Workers","346","303","43"
"TRN-Ship And Boat Captains And Operators","264","183","81"
"TRN-Sailors And Marine Oilers, And Ship Engineers","171","96","75"
"TRN-Parking Attendants","2977","2716","261"
"TRN-Transportation Service Attendants","2809","2627","182"
"TRN-Transportation Inspectors","902","849","53"
"TRN-Passenger Attendants","870","323","547"
"TRN-Other Transportation Workers","767","684","83"
"TRN-Crane And Tower Operators","566","566","0"
"TRN-Industrial Truck And Tractor Operators","8677","8087","590"
"TRN-Cleaners Of Vehicles And Equipment","10704","8504","2200"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","64495","51012","13483"
"TRN-Machine Feeders And Offbearers","468","293","175"
"TRN-Packers And Packagers, Hand","12475","5456","7019"
"TRN-Stockers And Order Fillers","45916","28084","17832"
"TRN-Pumping Station Operators","334","294","40"
"TRN-Refuse And Recyclable Material Collectors","2494","2168","326"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","210","193","17"
"TRN-Other Material Moving Workers","1343","1114","229"
"MIL-Military Officer Special And Tactical Operations Leaders","1062","887","175"
"MIL-First-Line Enlisted Military Supervisors","1390","1161","229"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","1896","1590","306"
"MIL-Military, Rank Not Specified","5267","4247","1020"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","41936","20724","21212"
