Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arizona"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"SCI-Environmental Science And Geoscience Technicians, And Nuclear Technicians","846","524","322"
"SCI-Other Life, Physical, And Social Science Technicians","5281","2875","2406"
"SCI-Occupational Health And Safety Specialists And Technicians","1225","857","368"
"CMS-Substance Abuse And Behavioral Disorder Counselors","2485","984","1501"
"CMS-Educational, Guidance, And Career Counselors And Advisors","9181","2771","6410"
"CMS-Marriage And Family Therapists","715","122","593"
"CMS-Mental Health Counselors","2233","757","1476"
"CMS-Rehabilitation Counselors","900","357","543"
"CMS-Counselors, All Other","4933","1732","3201"
"CMS-Child, Family, And School Social Workers","2361","492","1869"
"CMS-Healthcare Social Workers","2052","489","1563"
"CMS-Mental Health And Substance Abuse Social Workers","888","126","762"
"CMS-Social Workers, All Other","13760","2740","11020"
"CMS-Probation Officers And Correctional Treatment Specialists","2922","1754","1168"
"CMS-Social And Human Service Assistants","5517","1510","4007"
"CMS-Other Community And Social Service Specialists","1946","672","1274"
"CMS-Clergy","8066","6496","1570"
"CMS-Directors, Religious Activities And Education","1578","711","867"
"CMS-Religious Workers, All Other","1768","622","1146"
"LGL-Judicial Law Clerks","693","303","390"
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers","18785","11649","7136"
"LGL-Paralegals And Legal Assistants","9263","1577","7686"
"LGL-Title Examiners, Abstractors, And Searchers","2385","570","1815"
"LGL-Legal Support Workers, All Other","1242","410","832"
"EDU-Postsecondary Teachers","32808","16215","16593"
"EDU-Preschool And Kindergarten Teachers","12733","247","12486"
"EDU-Elementary And Middle School Teachers","75744","15493","60251"
"EDU-Secondary School Teachers","23006","9417","13589"
"EDU-Special Education Teachers","6556","634","5922"
"EDU-Tutors","6212","2737","3475"
"EDU-Other Teachers And Instructors","20279","9217","11062"
"EDU-Archivists, Curators, And Museum Technicians","1123","561","562"
"EDU-Librarians And Media Collections Specialists","3816","1014","2802"
"EDU-Library Technicians","1463","278","1185"
"EDU-Teaching Assistants","31894","5215","26679"
"EDU-Other Educational Instruction and Library Workers","3172","1017","2155"
"ENT-Artists And Related Workers","5383","2618","2765"
"ENT-Commercial And Industrial Designers","664","599","65"
"ENT-Fashion Designers","373","53","320"
"ENT-Floral Designers","1720","126","1594"
"ENT-Graphic Designers","6675","3501","3174"
"ENT-Interior Designers","2019","438","1581"
"ENT-Merchandise Displayers And Window Trimmers","356","172","184"
"ENT-Other Designers","8122","4833","3289"
"ENT-Actors","1015","570","445"
"ENT-Producers And Directors","2395","1574","821"
"ENT-Athletes And Sports Competitors","1965","1792","173"
"ENT-Coaches And Scouts","7303","3912","3391"
"ENT-Umpires, Referees, And Other Sports Officials","1299","1091","208"
"ENT-Dancers And Choreographers","762","46","716"
"ENT-Music Directors And Composers","881","464","417"
"ENT-Musicians And Singers","3500","2318","1182"
"ENT-Disc Jockeys, Except Radio","220","145","75"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","1062","450","612"
"ENT-Broadcast Announcers And Radio Disc Jockeys","996","766","230"
"ENT-News Analysts, Reporters, And Journalists","1318","705","613"
"ENT-Public Relations Specialists","2272","760","1512"
"ENT-Editors","3410","1405","2005"
"ENT-Technical Writers","1811","870","941"
"ENT-Writers And Authors","4995","1556","3439"
"ENT-Interpreters And Translators","3646","676","2970"
"ENT-Court Reporters And Simultaneous Captioners","908","163","745"
"ENT-Media And Communication Workers, All Other","625","406","219"
"ENT-Photographers","5408","2766","2642"
"ENT-Television, Video, And Film Camera Operators And Editors","1705","1242","463"
"ENT-Other Media And Communication Equipment Workers","1855","1563","292"
"MED-Chiropractors","1573","1287","286"
"MED-Dentists","4295","3352","943"
"MED-Dietitians And Nutritionists","2258","319","1939"
"MED-Optometrists","773","447","326"
"MED-Pharmacists","8603","4512","4091"
"MED-Physician Assistants","2371","860","1511"
"MED-Podiatrists","121","82","39"
"MED-Occupational Therapists","2011","227","1784"
"MED-Physical Therapists","5400","1830","3570"
"MED-Radiation Therapists","266","125","141"
"MED-Recreational Therapists","162","25","137"
"MED-Respiratory Therapists","3053","1293","1760"
"MED-Speech-Language Pathologists","3910","270","3640"
"MED-Other Therapists","4241","778","3463"
"MED-Veterinarians","1975","675","1300"
"MED-Registered Nurses","70972","8435","62537"
"MED-Nurse Anesthetists","424","230","194"
"MED-Audiologists","531","88","443"
"MED-Nurse Practitioners, And Nurse Midwives","3847","610","3237"
"MED-Physicians","18470","11879","6591"
"MED-Surgeons","1240","1058","182"
"MED-Acupuncturists","736","230","506"
"MED-Dental Hygienists","3967","301","3666"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","539","172","367"
"MED-Clinical Laboratory Technologists And Technicians","7742","2695","5047"
"MED-Cardiovascular Technologists And Technicians","784","315","469"
"MED-Diagnostic Medical Sonographers","1695","536","1159"
"MED-Radiologic Technologists And Technicians","4382","1666","2716"
"MED-Magnetic Resonance Imaging Technologists","1121","536","585"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","428","184","244"
"MED-Emergency Medical Technicians","2746","1709","1037"
"MED-Paramedics","2040","1322","718"
"MED-Pharmacy Technicians","11599","3768","7831"
"MED-Psychiatric Technicians","2566","792","1774"
"MED-Surgical Technologists","3030","934","2096"
"MED-Veterinary Technologists And Technicians","3274","429","2845"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","647","103","544"
"MED-Licensed Practical And Licensed Vocational Nurses","11319","1759","9560"
"MED-Medical Records Specialists","5570","506","5064"
"MED-Opticians, Dispensing","1451","312","1139"
"MED-Miscellaneous Health Technologists And Technicians","4326","1462","2864"
"MED-Other Healthcare Practitioners And Technical Occupations","2147","925","1222"
"HLS-Home Health Aides","6561","1287","5274"
"HLS-Personal Care Aides","48033","8589","39444"
"HLS-Nursing Assistants","21127","3294","17833"
"HLS-Orderlies And Psychiatric Aides","1098","638","460"
"HLS-Occupational Therapy Assistants And Aides","890","60","830"
"HLS-Physical Therapist Assistants And Aides","2426","1257","1169"
"HLS-Massage Therapists","6970","823","6147"
"HLS-Dental Assistants","8648","573","8075"
"HLS-Medical Assistants","17536","2066","15470"
"HLS-Medical Transcriptionists","2293","437","1856"
"HLS-Pharmacy Aides","1242","345","897"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","1805","250","1555"
"HLS-Phlebotomists","3248","727","2521"
"HLS-Other Healthcare Support Workers","4041","1502","2539"
"PRT-First-Line Supervisors Of Correctional Officers","1632","1314","318"
"PRT-First-Line Supervisors Of Police And Detectives","3230","2723","507"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","1696","1660","36"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","2552","2070","482"
"PRT-Firefighters","8320","7853","467"
"PRT-Fire Inspectors","489","375","114"
"PRT-Bailiffs","710","482","228"
"PRT-Correctional Officers And Jailers","11919","8692","3227"
"PRT-Detectives And Criminal Investigators","3927","2634","1293"
"PRT-Police Officers","20253","17352","2901"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","270","174","96"
"PRT-Animal Control Workers","460","293","167"
"PRT-Private Detectives And Investigators","4186","1740","2446"
"PRT-Security Guards And Gambling Surveillance Officers","30547","24303","6244"
"PRT-Crossing Guards And Flaggers","1451","640","811"
"PRT-Transportation Security Screeners","1226","974","252"
"PRT-School Bus Monitors","487","218","269"
"PRT-Other Protective Service Workers","5881","2841","3040"
"EAT-Chefs And Head Cooks","9716","7531","2185"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","16336","7387","8949"
"EAT-Cooks","65871","41132","24739"
"EAT-Food Preparation Workers","32360","13155","19205"
"EAT-Bartenders","13234","4905","8329"
"EAT-Fast Food And Counter Workers","19508","7372","12136"
"EAT-Waiters And Waitresses","60229","19630","40599"
"EAT-Food Servers, Nonrestaurant","6246","2129","4117"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","12681","7623","5058"
"EAT-Dishwashers","12549","10393","2156"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","11600","1616","9984"
"EAT-Food Preparation And Serving Related Workers, All Other","327","157","170"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","6596","3424","3172"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","5388","5014","374"
"CLN-Maids And Housekeeping Cleaners","48288","5142","43146"
"CLN-Janitors And Building Cleaners","70526","43685","26841"
"CLN-Pest Control Workers","3993","3920","73"
"CLN-Landscaping And Groundskeeping Workers","50296","48297","1999"
"CLN-Tree Trimmers And Pruners","2565","2513","52"
"CLN-Other Grounds Maintenance Workers","1730","1654","76"
"PRS-Supervisors of Personal Care And Service Workers","3144","1081","2063"
"PRS-Animal Trainers","1304","435","869"
"PRS-Animal Caretakers","8750","1869","6881"
"PRS-Gambling Services Workers","3514","2128","1386"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","2032","1083","949"
"PRS-Other Entertainment Attendants And Related Workers","8134","5278","2856"
"PRS-Morticians, Undertakers, And Funeral Arrangers","541","360","181"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","159","100","59"
"PRS-Barbers","3435","2590","845"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","18790","1511","17279"
"PRS-Manicurists and Pedicurists","6471","1218","5253"
"PRS-Skincare Specialists","2647","94","2553"
"PRS-Other Personal Appearance Workers","802","137","665"
"PRS-Baggage Porters, Bellhops, And Concierges","2468","1861","607"
"PRS-Tour And Travel Guides","3044","1857","1187"
"PRS-Childcare Workers","34692","3432","31260"
"PRS-Exercise Trainers And Group Fitness Instructors","7496","2417","5079"
"PRS-Recreation Workers","6837","2358","4479"
"PRS-Residential Advisors","1891","620","1271"
"PRS-Personal Care And Service Workers, All Other","4972","2294","2678"
"SAL-First-Line Supervisors Of Retail Sales Workers","77371","42053","35318"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","28592","18839","9753"
"SAL-Cashiers","96602","27433","69169"
"SAL-Counter And Rental Clerks","2817","1644","1173"
"SAL-Parts Salespersons","2628","2289","339"
"SAL-Retail Salespersons","94150","46403","47747"
"SAL-Advertising Sales Agents","4399","2361","2038"
"SAL-Insurance Sales Agents","16761","8917","7844"
"SAL-Securities, Commodities, And Financial Services Sales Agents","7088","4519","2569"
"SAL-Travel Agents","2731","471","2260"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","20980","13565","7415"
"SAL-Sales Representatives, Wholesale And Manufacturing","31147","21628","9519"
"SAL-Models, Demonstrators, And Product Promoters","2261","587","1674"
"SAL-Real Estate Brokers And Sales Agents","35369","15228","20141"
"SAL-Sales Engineers","682","650","32"
"SAL-Telemarketers","5301","2656","2645"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","4317","1860","2457"
"SAL-Sales And Related Workers, All Other","8639","4702","3937"
"OFF-First-Line Supervisors Of Office And Administrative Support Workers","33847","12013","21834"
"OFF-Switchboard Operators, Including Answering Service","944","239","705"
"OFF-Telephone Operators","1320","407","913"
"OFF-Communications Equipment Operators, All Other","833","545","288"
"OFF-Bill And Account Collectors","6484","2490","3994"
"OFF-Billing And Posting Clerks","15095","1751","13344"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","32621","4249","28372"
"OFF-Payroll And Timekeeping Clerks","4710","696","4014"
"OFF-Procurement Clerks","1053","555","498"
"OFF-Tellers","6448","1217","5231"
"OFF-Other Financial Clerks","3634","1283","2351"
"OFF-Court, Municipal, And License Clerks","2095","392","1703"
"OFF-Credit Authorizers, Checkers, And Clerks","1640","441","1199"
"OFF-Customer Service Representatives","112292","41690","70602"
"OFF-Eligibility Interviewers, Government Programs","2409","452","1957"
"OFF-File Clerks","7320","1977","5343"
"OFF-Hotel, Motel, And Resort Desk Clerks","4379","1469","2910"
"OFF-Interviewers, Except Eligibility And Loan","6572","1452","5120"
"OFF-Library Assistants, Clerical","2136","525","1611"
"OFF-Loan Interviewers And Clerks","5639","1523","4116"
"OFF-New Accounts Clerks","443","142","301"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","1586","172","1414"
"OFF-Receptionists And Information Clerks","39064","5537","33527"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","5471","2031","3440"
"OFF-Correspondence Clerks And Order Clerks","3046","1274","1772"
"OFF-Other Information And Records Clerks","5632","1808","3824"
"OFF-Cargo And Freight Agents","542","306","236"
"OFF-Couriers And Messengers","7849","6168","1681"
"OFF-Public Safety Telecommunicators","2860","728","2132"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","5857","2716","3141"
"OFF-Meter Readers, Utilities","834","697","137"
"OFF-Postal Service Clerks","2297","1320","977"
"OFF-Postal Service Mail Carriers","7241","4252","2989"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","1897","965","932"
"OFF-Production, Planning, And Expediting Clerks","9029","3528","5501"
"OFF-Shipping, Receiving, And Inventory Clerks","12548","8362","4186"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","2062","1232","830"
"OFF-Executive Secretaries And Executive Administrative Assistants","5584","343","5241"
"OFF-Legal Secretaries And Administrative Assistants","1657","39","1618"
"OFF-Medical Secretaries And Administrative Assistants","2205","88","2117"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","61277","3382","57895"
"OFF-Data Entry Keyers","10005","2277","7728"
"OFF-Word Processors And Typists","6989","1060","5929"
"OFF-Insurance Claims And Policy Processing Clerks","12208","3288","8920"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","1940","759","1181"
"OFF-Office Clerks, General","34415","6054","28361"
"OFF-Office Machine Operators, Except Computer","1264","495","769"
"OFF-Proofreaders And Copy Markers","146","23","123"
"OFF-Statistical Assistants","507","277","230"
"OFF-Other Office And Administrative Support Workers","15937","3903","12034"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","1827","1719","108"
"FFF-Agricultural Inspectors","122","106","16"
"FFF-Graders And Sorters, Agricultural Products","1768","167","1601"
"FFF-Other Agricultural Workers","23437","17262","6175"
"FFF-Fishing And Hunting Workers","426","396","30"
"FFF-Forest And Conservation Workers","544","439","105"
"FFF-Logging Workers","485","447","38"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","21305","20357","948"
"CON-Boilermakers","266","241","25"
"CON-Carpenters","27715","27117","598"
"CON-Carpet, Floor, And Tile Installers And Finishers","7236","7020","216"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","2262","2260","2"
"CON-Construction Laborers","52964","50977","1987"
"CON-Construction Equipment Operators","8928","8683","245"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","6025","5853","172"
"CON-Electricians","17279","16899","380"
"CON-Glaziers","1009","1009","0"
"CON-Insulation Workers","952","952","0"
"CON-Painters And Paperhangers","14827","13565","1262"
"CON-Pipelayers","1988","1872","116"
"CON-Plumbers, Pipefitters, And Steamfitters","13063","12866","197"
"CON-Plasterers And Stucco Masons","2432","2432","0"
"CON-Roofers","6544","6504","40"
"CON-Sheet Metal Workers","2919","2800","119"
"CON-Structural Iron And Steel Workers","1181","1181","0"
"CON-Solar Photovoltaic Installers","882","867","15"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","3846","3832","14"
"CON-Helpers, Construction Trades","1151","998","153"
"CON-Construction And Building Inspectors","2500","2279","221"
"CON-Elevator And Escalator Installers And Repairers","222","222","0"
"CON-Fence Erectors","433","433","0"
"CON-Hazardous Materials Removal Workers","690","552","138"
"CON-Highway Maintenance Workers","2112","1977","135"
"CON-Rail-Track Laying And Maintenance Equipment Operators","169","169","0"
"CON-Other Construction And Related Workers","2250","2121","129"
"EXT-Surface Mining Machine Operators And Earth Drillers","1375","1361","14"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","656","620","36"
"EXT-Underground Mining Machine Operators","1518","1417","101"
"EXT-Other Extraction Workers","1173","1122","51"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas","124","124","0"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","7246","6774","472"
"RPR-Computer, Automated Teller, And Office Machine Repairers","3993","3602","391"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","4149","3640","509"
"RPR-Avionics Technicians","977","959","18"
"RPR-Electric Motor, Power Tool, And Related Repairers","469","377","92"
"RPR-Audiovisual Equipment Installers And Repairers","899","820","79"
"RPR-Security And Fire Alarm Systems Installers","1378","1378","0"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","1389","1275","114"
"RPR-Aircraft Mechanics And Service Technicians","8123","7784","339"
"RPR-Automotive Body And Related Repairers","2826","2810","16"
"RPR-Automotive Glass Installers And Repairers","915","915","0"
"RPR-Automotive Service Technicians And Mechanics","22100","21504","596"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","6442","6276","166"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","4964","4860","104"
"RPR-Small Engine Mechanics","1203","1039","164"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","3283","3183","100"
"RPR-Control And Valve Installers And Repairers","466","446","20"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","11174","10993","181"
"RPR-Home Appliance Repairers","1162","1135","27"
"RPR-Maintenance Workers, Machinery","545","481","64"
"RPR-Millwrights","251","251","0"
"RPR-Industrial And Refractory Machinery Mechanics","6705","6459","246"
